Date,Open,High,Low,Close,Volume,Adj Close
2011-11-10,78.02,78.13,75.53,77.88,1301700,77.88
2011-11-09,78.67,79.17,76.89,77.37,1621000,77.37
2011-11-08,80.42,81.09,79.68,80.47,1035700,80.47
2011-11-07,78.51,80.39,78.22,80.31,1224500,80.31
2011-11-04,79.12,79.45,77.68,78.40,1487900,78.40
2011-11-03,82.70,82.88,77.89,79.93,1954300,79.93
2011-11-02,80.19,82.19,79.98,81.41,1609100,81.41
2011-11-01,79.04,80.04,77.27,78.79,2442100,78.79
2011-10-31,82.85,83.74,82.05,82.29,1572000,82.29
2011-10-28,83.29,85.13,83.17,83.92,1128700,83.92
2011-10-27,82.81,85.25,81.25,84.29,1683600,84.29
2011-10-26,78.63,80.21,77.25,79.95,1380000,79.95
2011-10-25,78.93,79.55,77.31,77.67,1589800,77.67
2011-10-24,77.08,79.27,77.05,79.00,1593900,79.00
2011-10-21,75.50,76.51,75.10,76.45,2082600,76.45
2011-10-20,73.53,75.06,72.62,74.70,2052200,74.70
2011-10-19,75.33,75.35,72.70,73.02,1019600,73.02
2011-10-18,73.32,75.41,71.95,74.87,1365200,74.87
2011-10-17,75.37,75.37,73.02,73.65,1498400,73.65
2011-10-14,75.13,75.99,74.56,75.83,992200,75.83
2011-10-13,73.29,74.47,72.27,73.91,1105600,73.91
2011-10-12,73.95,74.99,72.25,73.78,1721300,73.78
2011-10-11,71.80,74.10,70.53,73.64,1972200,73.64
2011-10-10,70.27,73.00,70.27,71.97,1033600,71.97
2011-10-07,71.51,71.99,67.89,68.71,1801500,68.71
2011-10-06,68.23,71.93,68.23,71.04,1943400,71.04
2011-10-05,65.40,68.50,64.90,68.18,1799400,68.18
2011-10-04,62.44,65.35,60.15,64.97,2989200,64.97
2011-10-03,65.62,66.96,63.97,64.09,2005100,64.09
2011-09-30,68.18,68.86,66.60,66.66,2374600,66.66
2011-09-29,72.25,72.25,69.40,70.30,1764500,70.30
2011-09-28,74.96,75.06,70.63,70.91,1802400,70.91
2011-09-27,76.55,77.42,74.21,74.64,1550900,74.64
2011-09-26,72.99,72.99,68.58,72.82,1647200,72.82
2011-09-23,70.80,72.87,70.55,71.84,1617400,71.84
2011-09-22,74.45,75.03,71.69,72.57,2788600,72.57
2011-09-21,82.50,83.54,79.00,79.03,1545700,79.03
2011-09-20,84.77,84.99,82.24,82.37,1775800,82.37
2011-09-19,85.64,86.17,83.84,84.67,935900,84.67
2011-09-16,87.71,87.75,86.88,87.19,916000,87.19
2011-09-15,87.30,87.50,86.01,87.36,1016700,87.36
2011-09-14,85.48,87.34,84.38,86.45,1071300,86.45
2011-09-13,84.70,85.41,83.97,85.07,898500,85.07
2011-09-12,85.03,86.31,82.80,84.58,1287600,84.58
2011-09-09,86.64,87.59,84.85,85.76,1061200,85.76
2011-09-08,87.79,90.17,87.00,87.34,1451800,87.34
2011-09-07,87.26,88.54,86.72,88.33,1122900,88.33
2011-09-06,84.75,86.66,83.90,86.56,1530100,86.56
2011-09-02,84.72,87.47,84.42,86.83,1260700,86.83
2011-09-01,86.01,87.15,85.39,86.56,1201600,86.56
2011-08-31,88.68,89.07,84.97,85.96,1231000,85.96
2011-08-30,85.76,88.08,85.66,87.75,1325100,87.75
2011-08-29,84.57,86.00,84.41,85.92,866600,85.92
2011-08-26,80.29,83.54,79.05,83.42,1297000,83.42
2011-08-25,82.19,82.55,80.08,80.62,1068200,80.62
2011-08-24,80.38,81.42,79.67,81.16,1135600,81.16
2011-08-23,78.02,80.85,76.96,80.32,2553100,80.32
2011-08-22,77.68,78.50,76.79,77.03,2092200,77.03
2011-08-19,77.44,79.96,76.57,76.64,1452600,76.64
2011-08-18,80.05,80.05,77.91,78.91,1749700,78.91
2011-08-17,82.40,84.27,82.31,82.94,1201500,82.94
2011-08-16,83.04,83.60,82.03,83.17,1381100,83.17
2011-08-15,84.89,84.99,82.97,84.07,1456200,84.07
2011-08-12,83.98,84.10,82.80,83.68,1069300,83.68
2011-08-11,81.52,83.92,81.52,82.65,2159400,82.65
2011-08-10,79.33,82.48,77.68,79.94,2248700,79.94
2011-08-09,75.74,80.70,75.13,80.55,2756200,80.55
2011-08-08,77.77,78.69,74.00,75.21,2835200,75.21
2011-08-05,83.42,84.45,77.84,80.78,2680100,80.78
2011-08-04,85.96,85.96,81.46,82.72,2738300,82.72
2011-08-03,87.76,88.46,83.21,87.05,1990200,87.05
2011-08-02,87.15,87.89,85.59,85.62,1493000,85.62
2011-08-01,89.07,89.09,86.81,87.97,861300,87.97
2011-07-29,87.37,87.85,85.02,87.38,1848700,87.38
2011-07-28,89.01,90.00,88.41,88.59,913300,88.59
2011-07-27,90.47,90.74,88.57,88.93,1031500,88.93
2011-07-26,92.33,92.40,90.57,91.04,872200,91.04
2011-07-25,91.62,93.49,91.57,92.40,991700,92.40
2011-07-22,91.94,92.91,91.88,92.56,871800,92.56
