x,y
0.0,3.595
0.05,0.0
0.1,-0.744
0.15,-3.982
0.2,-1.627
0.25,0.775
0.3,-1.875
0.35,-2.03
0.4,-2.882
0.45,-4.679
0.5,-5.764
0.55,-3.967
0.6,-1.333
0.65,-2.65
0.7,-5.051
0.75,-9.761
0.8,-8.274
0.85,-11.683
0.9,-5.609
0.95,-9.219
1.0,-9.808
1.05,-9.095
1.1,-11.946
1.15,-10.97
1.2,-11.559
1.25,-14.905
1.3,-17.818
1.35,-20.05
1.4,-14.611
1.45,-18.547
1.5,-15.835
1.55,-15.448
1.6,-12.256
1.65,-15.432
1.7,-16.331
1.75,-13.341
1.8,-17.942
1.85,-20.499
1.9,-21.878
1.95,-20.607
2.0,-19.011
2.05,-19.616
2.1,-17.447
2.15,-19.228
2.2,-18.19
2.25,-17.601
2.3,-19.368
2.35,-17.54
2.4,-19.011
2.45,-20.793
2.5,-21.336
2.55,-22.436
2.6,-21.769
2.65,-23.675
2.7,-24.156
2.75,-24.311
2.8,-23.427
2.85,-22.56
2.9,-23.148
2.95,-18.392
3.0,-13.805
3.05,-9.111
3.1,-8.816
3.15,-10.412
3.2,-10.645
3.25,-7.639
3.3,-9.328
3.35,-11.683
3.4,-7.933
3.45,-7.871
3.5,-8.677
3.55,-6.57
3.6,-6.957
3.65,-9.39
3.7,-5.593
3.75,-3.889
3.8,-0.837
3.85,-0.961
3.9,0.604
3.95,3.982
4.0,3.347
4.05,2.851
4.1,2.092
4.15,-0.558
4.2,-1.813
4.25,4.524
4.3,2.417
4.35,7.685
4.4,8.011
4.45,8.46
4.5,4.617
4.55,7.453
4.6,5.33
4.65,0.79
4.7,4.478
4.75,4.23
4.8,7.53
4.85,5.733
4.9,9.544
4.95,9.653
5.0,12.24
5.05,11.559
5.1,11.745
5.15,15.432
5.2,13.542
5.25,15.742
5.3,14.797
5.35,13.046
5.4,12.581
5.45,16.377
5.5,15.618
5.55,16.439
5.6,16.641
5.65,15.541
5.7,14.921
5.75,19.833
5.8,19.6
5.85,20.437
5.9,20.344
5.95,17.276
6.0,16.145
6.05,15.479
6.1,18.314
6.15,19.29
6.2,20.778
6.25,28.788
6.3,29.052
6.35,33.793
6.4,34.087
6.45,33.963
6.5,33.886
6.55,29.222
6.6,29.733
6.65,36.535
6.7,35.373
6.75,36.768
6.8,34.521
6.85,36.055
6.9,37.047
6.95,33.917
7.0,38.317
7.05,38.395
7.1,34.103
7.15,31.639
7.2,32.972
7.25,32.213
7.3,34.335
7.35,31.624
7.4,29.129
7.45,30.059
7.5,26.077
7.55,21.274
7.6,21.537
7.65,23.365
7.7,24.62
7.75,25.922
7.8,23.551
7.85,25.612
7.9,24.729
7.95,24.605
8.0,23.722
8.05,26.356
8.1,29.377
8.15,28.68
8.2,30.694
8.25,33.499
8.3,29.021
8.35,27.007
8.4,26.371
8.45,28.2
8.5,27.223
8.55,26.216
8.6,25.24
8.65,25.906
8.7,27.518
8.75,26.48
8.8,31.066
8.85,30.152
8.9,33.685
8.95,33.297
9.0,34.552
9.05,40.672
9.1,42.191
9.15,44.794
9.2,44.484
9.25,42.532
9.3,43.368
9.35,44.515
9.4,42.346
9.45,41.989
9.5,43.895
9.55,45.879
9.6,44.329
9.65,45.15
9.7,46.297
9.75,39.991
9.8,37.868
9.85,36.582
9.9,35.931
9.95,35.637
10.0,39.619
10.05,38.782
10.1,36.768
10.15,38.674
10.2,41.432
10.25,43.973
10.3,42.64
10.35,43.183
10.4,45.15
10.45,47.35
10.5,48.11
10.55,49.706
10.6,52.045
10.65,51.704
10.7,49.117
10.75,49.799
10.8,50.279
10.85,42.857
10.9,39.898
10.95,43.028
11.0,44.329
11.05,47.722
11.1,46.777
11.15,44.995
11.2,47.722
11.25,50.0
11.3,50.093
11.35,45.553
11.4,42.392
11.45,38.674
11.5,34.552
11.55,37.744
11.6,31.081
11.65,37.465
11.7,38.782
11.75,39.603
11.8,37.899
11.85,37.124
11.9,34.831
11.95,37.899
12.0,38.24
12.05,38.829
12.1,36.489
12.15,37.279
12.2,41.664
12.25,44.654
12.3,45.181
12.35,48.311
12.4,48.001
12.45,44.98
12.5,44.701
12.55,42.377
12.6,38.953
12.65,38.906
12.7,36.985
12.75,35.637
12.8,35.683
12.85,37.047
12.9,42.532
12.95,41.354
13.0,41.989
13.05,41.664
13.1,43.337
13.15,41.091
13.2,38.596
13.25,40.719
13.3,39.82
13.35,36.04
13.4,27.921
13.45,31.298
13.5,30.679
13.55,32.151
13.6,29.997
13.65,25.085
13.7,23.117
13.75,24.636
13.8,24.667
13.85,24.713
13.9,27.58
13.95,25.225
14.0,21.367
14.05,26.077
14.1,29.826
14.15,29.78
14.2,31.484
14.25,37.667
14.3,35.079
14.35,32.011
14.4,31.841
14.45,33.499
14.5,31.934
14.55,28.122
14.6,28.246
14.65,30.276
14.7,31.097
14.75,32.337
14.8,32.213
14.85,27.952
14.9,27.58
14.95,26.898
15.0,29.718
15.05,32.104
15.1,27.27
15.15,31.624
15.2,29.718
15.25,33.344
15.3,37.248
15.35,34.18
15.4,35.559
15.45,36.489
15.5,37.775
15.55,37.698
15.6,35.683
15.65,37.186
15.7,34.242
15.75,35.435
15.8,38.1
15.85,38.472
15.9,37.713
15.95,38.565
16.0,40.92
16.05,41.509
16.1,42.454
16.15,41.958
16.2,43.059
16.25,40.177
16.3,37.914
16.35,35.373
16.4,38.007
