Date,Open,High,Low,Close,Volume,Adj Close
2011-11-09,293.34,294.51,291.20,293.29,1300,293.29
2011-11-08,289.50,294.01,289.50,293.38,1700,293.38
2011-11-07,290.50,290.80,288.00,289.37,2900,289.37
2011-11-04,292.00,292.58,290.30,291.07,1900,291.07
2011-11-03,286.36,291.00,286.01,289.92,2400,289.92
2011-11-02,291.50,291.50,287.88,289.04,1700,289.04
2011-11-01,291.70,292.00,288.21,288.21,5200,288.21
2011-10-31,286.90,292.57,286.20,291.84,2300,291.84
2011-10-28,286.00,286.33,284.50,285.74,8300,285.74
2011-10-27,289.90,291.30,284.71,286.66,4800,286.66
2011-10-26,287.30,288.21,284.96,286.21,3600,286.21
2011-10-25,291.30,292.50,287.49,287.49,2800,287.49
2011-10-24,284.20,291.51,283.80,290.91,3600,290.91
2011-10-21,288.00,288.70,282.35,282.64,4700,282.64
2011-10-20,290.01,292.20,287.98,288.78,6500,288.78
2011-10-19,284.25,296.09,284.25,292.37,33400,292.37
2011-10-18,304.10,308.00,303.99,306.50,6800,306.50
2011-10-17,306.00,310.22,302.11,305.16,10300,305.16
2011-10-14,299.50,303.14,299.00,301.70,6300,301.70
2011-10-13,293.00,296.60,291.50,295.39,3400,295.39
2011-10-12,294.00,296.88,293.00,294.38,7100,294.38
2011-10-11,286.00,294.26,284.80,292.11,8400,292.11
2011-10-10,273.10,281.63,273.10,281.36,20300,281.36
2011-10-07,281.00,281.34,273.00,277.02,6400,277.02
2011-10-06,270.50,286.36,270.50,279.25,32600,279.25
2011-10-05,279.00,282.97,270.72,282.97,12800,282.97
2011-10-04,285.50,286.39,278.00,279.74,8200,279.74
2011-10-03,283.57,287.98,281.99,283.62,3400,283.62
2011-09-30,288.50,289.28,284.93,287.23,4700,287.23
2011-09-29,293.34,295.50,286.93,287.97,8600,287.97
2011-09-28,294.00,296.00,292.80,294.27,5100,294.27
2011-09-27,299.00,301.74,296.37,297.67,4100,297.67
2011-09-26,300.80,302.50,291.30,294.17,11400,294.17
2011-09-23,299.91,300.80,295.00,300.48,6500,300.48
2011-09-22,303.00,303.63,297.00,297.00,10500,297.00
2011-09-21,304.00,307.00,303.00,303.65,8700,303.65
2011-09-20,302.00,308.75,301.01,307.61,9500,307.61
2011-09-19,288.20,301.45,288.20,300.21,7700,300.21
2011-09-16,284.50,289.65,284.00,289.61,6600,289.61
2011-09-15,283.20,284.20,281.19,282.92,2800,282.92
2011-09-14,280.80,284.56,279.00,283.77,3500,283.77
2011-09-13,278.28,280.00,276.50,280.00,3600,280.00
2011-09-12,275.50,277.52,271.50,275.56,6300,275.56
2011-09-09,276.96,281.00,274.90,274.90,6400,274.90
2011-09-08,272.08,277.74,271.90,276.37,4600,276.37
2011-09-07,270.80,274.86,270.80,272.48,3200,272.48
2011-09-06,257.86,267.66,257.86,266.75,6100,266.75
2011-09-05,262.80,262.80,257.75,257.75,7200,257.75
2011-09-02,267.00,267.00,263.00,263.48,3100,263.48
2011-09-01,268.40,271.00,267.62,267.69,3200,267.69
2011-08-31,269.60,271.70,266.83,267.71,4500,267.71
