Date,Open,High,Low,Close,Volume,Adj Close
2011-11-09,59.20,59.72,55.50,56.84,3655100,56.84
2011-11-08,58.16,60.29,57.90,58.42,2794600,58.42
2011-11-07,57.50,59.51,56.51,58.13,2675600,58.13
2011-11-04,61.10,61.15,57.70,57.86,2884500,57.86
2011-11-03,57.00,61.16,56.68,60.61,5618800,60.61
2011-11-02,57.36,58.27,56.17,57.97,2678000,57.97
2011-11-01,57.25,57.42,55.27,56.58,4415000,56.58
2011-10-31,61.40,61.40,59.06,59.06,2617400,59.06
2011-10-28,61.66,62.47,60.86,61.81,3330200,61.81
2011-10-27,60.00,61.06,59.03,61.06,4088000,61.06
2011-10-26,57.72,59.60,57.15,57.81,2602300,57.81
2011-10-25,57.47,59.67,57.19,57.80,3103400,57.80
2011-10-24,57.85,58.44,56.54,57.88,2710100,57.88
2011-10-21,54.40,57.40,53.67,57.19,3832800,57.19
2011-10-20,53.92,55.99,53.80,54.11,2983700,54.11
2011-10-19,55.59,55.96,54.09,55.01,2307500,55.01
2011-10-18,53.26,55.65,52.09,55.08,3980800,55.08
2011-10-17,57.22,58.08,53.84,54.50,4019700,54.50
2011-10-14,55.09,57.17,54.56,56.44,3183100,56.44
2011-10-13,54.71,55.65,53.54,54.82,3265100,54.82
2011-10-12,53.50,55.45,52.81,54.91,3217100,54.91
2011-10-11,52.71,53.98,51.94,53.75,2918500,53.75
2011-10-10,51.50,53.48,49.81,52.99,3381200,52.99
2011-10-07,49.12,51.10,48.40,50.89,4290200,50.89
2011-10-06,48.05,49.47,47.33,48.90,4607200,48.90
2011-10-05,46.28,47.40,45.12,47.40,4541700,47.40
2011-10-04,46.33,46.50,43.49,45.04,7053800,45.04
2011-10-03,47.26,47.91,46.35,47.12,5923700,47.12
2011-09-30,51.52,51.60,48.65,49.97,7201500,49.97
2011-09-29,52.82,54.21,52.23,52.75,3213300,52.75
2011-09-28,53.22,54.84,52.73,53.25,2722900,53.25
2011-09-27,53.21,54.23,51.91,53.95,4113100,53.95
2011-09-26,51.45,51.61,49.73,50.80,5306700,50.80
2011-09-23,53.50,53.70,49.94,52.18,5207500,52.18
2011-09-22,54.10,54.38,52.05,52.99,5021300,52.99
2011-09-21,57.73,57.77,55.67,56.09,2385300,56.09
