x,y
0.0,0.082
0.05,0.0
0.1,2.732
0.15,3.415
0.2,0.546
0.25,0.273
0.3,0.628
0.35,1.311
0.4,2.486
0.45,0.027
0.5,-3.142
0.55,-2.24
0.6,-1.011
0.65,0.738
0.7,3.743
0.75,7.514
0.8,7.705
0.85,4.863
0.9,6.831
0.95,4.235
1.0,2.295
1.05,-1.093
1.1,-0.82
1.15,-2.842
1.2,-2.186
1.25,-0.82
1.3,2.24
1.35,2.65
1.4,3.716
1.45,3.279
1.5,7.213
1.55,7.514
1.6,2.186
1.65,4.727
1.7,3.415
1.75,6.148
1.8,11.885
1.85,10.902
1.9,7.514
1.95,9.781
2.0,6.311
2.05,8.88
2.1,13.934
2.15,13.525
2.2,12.322
2.25,14.672
2.3,13.005
2.35,11.093
2.4,11.585
2.45,9.563
2.5,8.087
2.55,6.093
2.6,4.098
2.65,4.617
2.7,5.738
2.75,8.251
2.8,7.377
2.85,7.377
2.9,6.557
2.95,15.902
3.0,14.071
3.05,15.464
3.1,14.344
3.15,14.754
3.2,12.842
3.25,11.557
3.3,14.617
3.35,15.219
3.4,15.41
3.45,13.88
3.5,11.393
3.55,10.492
3.6,13.279
3.65,16.803
3.7,17.869
3.75,19.372
3.8,22.678
3.85,21.557
3.9,21.175
3.95,17.623
4.0,15.574
4.05,14.809
4.1,14.973
4.15,14.235
4.2,17.541
4.25,19.344
4.3,17.049
4.35,14.754
4.4,13.552
4.45,12.623
4.5,13.552
4.55,13.661
4.6,14.098
4.65,10.656
4.7,14.754
4.75,16.503
4.8,19.126
4.85,20.683
4.9,20.137
4.95,19.454
5.0,22.131
5.05,22.951
5.1,27.459
5.15,26.503
5.2,28.361
5.25,28.907
5.3,30.628
5.35,29.426
5.4,33.47
5.45,32.459
5.5,32.486
5.55,31.393
5.6,37.022
5.65,36.066
5.7,39.344
5.75,39.071
5.8,40.546
5.85,34.044
5.9,32.158
5.95,35.984
6.0,34.727
6.05,37.322
6.1,37.158
6.15,35.082
6.2,37.705
6.25,37.978
6.3,36.831
6.35,34.508
6.4,33.852
6.45,34.126
6.5,35.355
6.55,37.131
6.6,37.459
6.65,37.951
6.7,36.721
6.75,37.022
6.8,35.219
6.85,41.448
6.9,43.989
6.95,38.661
7.0,42.213
7.05,47.923
7.1,46.694
7.15,45.902
7.2,49.18
7.25,47.541
7.3,45.71
7.35,50.464
7.4,52.131
7.45,49.508
7.5,50.164
7.55,53.934
7.6,56.639
7.65,56.148
7.7,55.765
7.75,61.475
7.8,62.049
7.85,63.251
7.9,57.65
7.95,59.426
8.0,68.552
8.05,74.044
8.1,74.863
8.15,72.131
8.2,73.497
8.25,70.546
8.3,65.301
8.35,69.399
8.4,73.224
8.45,69.399
8.5,70.492
8.55,71.995
8.6,69.126
8.65,73.224
8.7,77.541
8.75,76.366
8.8,71.311
8.85,63.087
8.9,58.743
8.95,61.475
9.0,61.913
9.05,68.033
9.1,65.301
9.15,63.934
9.2,62.596
9.25,60.656
9.3,59.454
9.35,63.087
9.4,61.885
9.45,57.104
9.5,60.656
9.55,61.148
9.6,60.847
9.65,57.295
9.7,52.377
9.75,51.913
9.8,52.377
9.85,54.399
9.9,55.464
9.95,60.383
10.0,55.41
10.05,55.82
10.1,55.328
10.15,54.126
10.2,57.787
10.25,55.738
10.3,61.284
10.35,67.896
10.4,66.448
10.45,67.35
10.5,73.497
10.55,72.541
10.6,69.945
10.65,68.579
10.7,68.251
10.75,65.0
10.8,62.568
10.85,64.973
10.9,56.421
10.95,57.077
11.0,59.727
11.05,62.077
11.1,60.792
11.15,60.109
11.2,60.109
11.25,55.219
11.3,59.809
11.35,59.208
11.4,56.858
11.45,54.372
11.5,52.322
11.55,49.508
11.6,49.945
11.65,46.148
11.7,49.18
11.75,54.208
11.8,51.093
11.85,49.454
11.9,51.23
11.95,58.934
12.0,56.831
12.05,57.65
12.1,58.689
12.15,60.082
12.2,61.749
12.25,67.732
12.3,65.874
12.35,67.268
12.4,62.978
12.45,62.186
12.5,58.47
12.55,54.918
12.6,56.475
12.65,57.131
12.7,59.016
12.75,58.06
12.8,57.404
12.85,62.049
12.9,66.667
12.95,66.639
13.0,68.197
13.05,70.929
13.1,71.885
13.15,74.863
13.2,74.262
13.25,77.049
13.3,69.945
13.35,67.814
13.4,71.393
13.45,68.306
13.5,72.213
13.55,70.492
13.6,70.437
13.65,67.131
13.7,67.732
13.75,66.913
13.8,68.934
13.85,69.918
13.9,63.934
13.95,61.23
14.0,62.978
14.05,66.667
14.1,64.481
14.15,66.366
14.2,68.033
14.25,67.432
14.3,64.754
14.35,64.645
14.4,64.208
14.45,65.847
14.5,63.607
14.55,67.377
14.6,72.104
14.65,70.765
14.7,69.508
14.75,71.721
14.8,69.399
14.85,72.295
14.9,73.934
14.95,75.984
15.0,77.322
15.05,78.005
15.1,80.656
15.15,83.306
15.2,85.355
15.25,90.027
15.3,88.443
15.35,87.705
15.4,85.738
15.45,87.186
15.5,86.995
15.55,86.831
15.6,89.426
15.65,85.792
15.7,79.617
15.75,84.645
15.8,90.273
15.85,93.306
15.9,97.459
15.95,96.585
16.0,98.06
16.05,97.787
16.1,96.557
16.15,94.59
16.2,101.557
16.25,95.574
16.3,91.257
16.35,89.235
16.4,95.628
16.45,85.246
16.5,77.596
16.55,82.459
16.6,61.557
16.65,62.158
16.7,51.885
16.75,65.546
16.8,56.202
16.85,57.295
16.9,63.934
16.95,59.891
17.0,59.426
17.05,57.951
17.1,45.164
17.15,37.514
17.2,39.262
17.25,43.443
17.3,48.333
17.35,46.12
17.4,50.902
17.45,51.448
17.5,48.852
17.55,54.372
17.6,52.322
17.65,44.262
17.7,39.153
17.75,42.486
17.8,47.432
17.85,44.809
17.9,36.885
17.95,42.295
18.0,40.383
18.05,52.459
18.1,56.421
18.15,52.459
18.2,52.732
18.25,57.732
18.3,47.814
18.35,46.175
18.4,40.574
18.45,45.383
18.5,45.41
18.55,44.317
18.6,40.765
18.65,29.126
18.7,26.585
18.75,26.448
18.8,31.284
18.85,34.208
18.9,40.71
18.95,44.016
19.0,46.175
19.05,49.481
19.1,50.519
19.15,56.339
19.2,45.519
19.25,51.885
19.3,47.322
19.35,48.634
19.4,58.06
19.45,57.022
19.5,57.705
19.55,63.934
19.6,68.47
19.65,67.76
19.7,56.421
19.75,56.721
19.8,55.738
19.85,66.94
19.9,57.104
19.95,58.907
