Date,Open,High,Low,Close,Volume,Adj Close
2011-11-10,30.75,31.77,30.28,31.70,1082300,31.70
2011-11-09,30.97,31.18,29.95,30.33,1073800,30.33
2011-11-08,31.28,32.06,30.71,32.01,581000,32.01
2011-11-07,31.25,31.25,30.08,30.96,604200,30.96
2011-11-04,30.96,31.41,30.49,31.18,575200,31.18
2011-11-03,30.95,31.46,29.90,31.34,604300,31.34
2011-11-02,29.87,30.59,29.51,30.46,695700,30.46
2011-11-01,29.27,31.05,28.63,29.23,809500,29.23
2011-10-31,30.96,31.04,29.95,30.18,670200,30.18
2011-10-28,31.35,32.03,31.20,31.45,490000,31.45
2011-10-27,30.62,31.61,30.40,31.41,518700,31.41
2011-10-26,28.97,29.65,27.89,29.40,840500,29.40
2011-10-25,29.02,29.14,28.15,28.66,664000,28.66
2011-10-24,28.38,29.15,28.28,29.01,278400,29.01
2011-10-21,27.65,28.22,27.53,28.16,400300,28.16
2011-10-20,27.21,27.49,26.53,27.16,531500,27.16
2011-10-19,27.95,27.95,26.97,27.13,737000,27.13
2011-10-18,26.52,28.05,26.16,27.82,622700,27.82
2011-10-17,27.32,27.48,26.36,26.51,549200,26.51
2011-10-14,26.90,27.62,26.67,27.53,500700,27.53
2011-10-13,26.20,26.54,25.54,26.43,672500,26.43
2011-10-12,26.26,26.83,26.09,26.49,643100,26.49
2011-10-11,25.82,26.31,25.70,25.96,521000,25.96
2011-10-10,25.51,25.98,25.42,25.97,922300,25.97
2011-10-07,26.08,26.34,24.58,24.95,1005000,24.95
2011-10-06,25.12,26.06,24.80,26.02,927700,26.02
2011-10-05,24.79,25.25,24.30,25.14,1045100,25.14
2011-10-04,22.85,24.89,22.45,24.83,1180700,24.83
2011-10-03,24.51,24.61,23.23,23.27,1060900,23.27
2011-09-30,25.26,25.67,24.78,24.78,848700,24.78
2011-09-29,26.26,26.51,25.18,25.84,834300,25.84
2011-09-28,26.98,27.02,25.41,25.51,481000,25.51
2011-09-27,25.85,27.30,25.71,26.80,722300,26.80
2011-09-26,25.26,25.37,23.75,24.92,1300800,24.92
2011-09-23,25.43,25.81,24.73,24.88,1212000,24.88
2011-09-22,27.23,27.54,25.17,25.72,904800,25.72
2011-09-21,30.20,30.32,28.14,28.16,876700,28.16
2011-09-20,31.42,31.45,30.24,30.38,1011700,30.38
2011-09-19,32.00,32.08,30.81,31.42,694400,31.42
2011-09-16,33.31,33.56,32.69,33.30,730900,33.30
2011-09-15,33.63,33.97,33.13,33.31,610300,33.31
2011-09-14,34.04,34.04,32.75,33.24,647500,33.24
2011-09-13,33.24,33.91,32.99,33.75,497700,33.75
2011-09-12,32.55,33.33,32.22,33.12,732800,33.12
2011-09-09,32.64,33.31,32.24,33.11,727100,33.11
2011-09-08,33.47,33.82,33.00,33.04,511400,33.04
2011-09-07,33.09,33.83,33.04,33.82,443100,33.82
2011-09-06,31.56,32.64,31.48,32.40,632100,32.40
2011-09-02,32.94,33.64,32.63,33.04,500700,33.04
2011-09-01,34.66,34.88,33.77,33.85,377800,33.85
2011-08-31,34.50,35.22,34.06,34.43,454000,34.43
2011-08-30,33.64,34.44,33.32,34.18,426400,34.18
2011-08-29,32.71,34.01,32.47,34.01,312500,34.01
2011-08-26,30.89,32.25,30.55,32.22,849300,32.22
2011-08-25,31.68,31.87,30.69,31.24,554000,31.24
2011-08-24,30.60,31.66,30.42,31.62,474400,31.44
2011-08-23,29.46,30.65,29.25,30.65,257900,30.48
2011-08-22,30.37,30.49,29.15,29.25,356500,29.08
2011-08-19,29.64,30.46,29.27,29.50,476100,29.33
2011-08-18,31.60,31.62,29.91,30.16,498600,29.99
2011-08-17,33.14,33.79,32.64,32.78,491700,32.59
2011-08-16,33.55,33.66,32.50,32.86,399600,32.67
2011-08-15,33.53,34.20,33.31,34.20,245000,34.01
2011-08-12,33.02,33.67,32.58,33.30,262800,33.11
2011-08-11,31.21,33.13,30.35,32.62,507200,32.43
2011-08-10,32.07,32.47,30.88,30.95,488000,30.77
2011-08-09,31.44,32.92,31.03,32.92,1057100,32.73
2011-08-08,32.87,33.03,29.15,30.31,1328700,30.14
2011-08-05,34.34,35.33,33.51,34.10,1481900,33.91
2011-08-04,36.57,36.76,33.65,33.70,748500,33.51
2011-08-03,37.04,37.24,35.58,37.20,406800,36.99
2011-08-02,38.22,38.56,37.02,37.04,383400,36.83
2011-08-01,39.60,39.92,38.33,38.62,509900,38.40
2011-07-29,38.87,39.50,38.16,39.10,476900,38.88
2011-07-28,40.42,40.43,39.21,39.44,478500,39.22
2011-07-27,42.87,43.30,40.33,40.42,1044600,40.19
2011-07-26,41.20,41.27,40.18,40.85,237400,40.62
2011-07-25,41.21,41.83,40.82,40.96,357000,40.73
2011-07-22,41.85,41.99,41.60,41.74,162000,41.50
2011-07-21,41.56,42.28,41.44,41.84,241900,41.60
2011-07-20,40.86,41.46,40.70,41.37,274000,41.13
2011-07-19,40.50,40.71,40.07,40.71,280100,40.48
2011-07-18,40.43,40.51,39.60,40.08,235500,39.85
2011-07-15,40.68,40.78,40.04,40.56,178600,40.33
2011-07-14,41.80,42.14,40.16,40.39,336400,40.16
2011-07-13,41.54,43.42,41.34,41.57,773700,41.33
2011-07-12,41.16,41.50,41.02,41.19,204200,40.96
2011-07-11,41.63,41.90,41.05,41.28,264800,41.05
2011-07-08,42.33,42.36,41.68,42.32,201800,42.08
2011-07-07,42.88,43.00,42.60,42.80,213800,42.56
2011-07-06,41.89,42.65,41.72,42.44,393200,42.20
2011-07-05,41.23,41.93,40.93,41.76,464500,41.52
2011-07-01,40.01,40.92,39.87,40.76,283200,40.53
2011-06-30,39.50,40.11,39.17,39.87,254400,39.64
2011-06-29,39.41,39.48,38.73,39.34,208500,39.12
2011-06-28,38.81,39.22,38.69,39.21,122900,38.99
2011-06-27,38.44,38.90,38.00,38.64,219100,38.42
2011-06-24,39.03,39.11,38.25,38.43,221800,38.21
2011-06-23,38.93,39.10,38.36,38.93,356300,38.71
2011-06-22,39.12,39.76,38.99,39.63,321000,39.40
2011-06-21,38.66,39.49,38.53,39.28,208900,39.06
2011-06-20,37.47,38.50,37.46,38.46,616200,38.24
2011-06-17,37.78,37.98,37.21,37.51,509200,37.30
2011-06-16,37.86,38.16,36.92,37.45,628600,37.24
2011-06-15,38.33,38.49,37.75,37.98,351800,37.76
2011-06-14,38.68,38.93,38.45,38.75,562100,38.53
2011-06-13,38.13,38.76,38.09,38.13,391400,37.91
2011-06-10,38.74,38.99,38.09,38.40,454300,38.18
2011-06-09,38.71,39.11,38.37,38.93,359400,38.71
2011-06-08,39.02,39.30,38.51,38.55,341400,38.33
2011-06-07,39.41,39.62,39.06,39.20,371600,38.98
2011-06-06,39.60,39.88,39.05,39.18,301400,38.96
2011-06-03,40.21,40.21,39.47,39.61,350600,39.38
2011-06-02,41.13,41.36,40.54,40.98,168600,40.75
2011-06-01,42.23,42.34,40.99,41.10,245800,40.87
2011-05-31,42.71,42.81,41.77,42.23,399800,41.99
2011-05-27,41.43,42.25,41.43,42.06,205700,41.82
2011-05-26,40.88,41.26,40.65,41.19,237400,40.96
2011-05-25,40.18,41.20,40.00,40.97,139600,40.74
2011-05-24,40.90,41.22,40.26,40.62,241100,40.21
2011-05-23,41.01,41.36,40.66,40.66,234500,40.25
2011-05-20,42.39,42.42,41.57,41.67,220200,41.25
2011-05-19,42.65,43.15,42.30,42.54,296100,42.11
2011-05-18,40.92,42.38,40.51,42.36,625400,41.93
2011-05-17,40.94,41.19,40.25,40.69,195700,40.28
2011-05-16,41.51,42.24,41.12,41.22,312500,40.80
2011-05-13,42.31,42.50,41.56,41.63,245600,41.21
2011-05-12,42.29,42.48,41.52,42.26,269000,41.83
2011-05-11,43.00,43.00,42.27,42.52,223300,42.09
2011-05-10,43.13,43.33,42.45,43.07,258300,42.64
2011-05-09,41.84,42.92,41.84,42.70,333100,42.27
2011-05-06,42.60,42.81,41.76,42.01,414600,41.59
2011-05-05,41.50,42.66,40.97,42.08,775700,41.66
2011-05-04,44.12,44.27,41.66,41.69,676400,41.27
2011-05-03,44.09,44.51,43.59,44.08,450100,43.63
2011-05-02,45.06,45.38,43.93,44.19,433900,43.74
2011-04-29,45.56,45.80,44.44,44.85,409000,44.40
2011-04-28,46.07,46.07,44.93,45.39,561900,44.93
2011-04-27,47.06,48.77,45.21,46.07,708800,45.60
2011-04-26,47.27,48.00,47.00,47.41,681600,46.93
2011-04-25,46.34,47.30,46.34,47.25,485800,46.77
2011-04-21,46.02,46.71,45.95,46.31,355000,45.84
2011-04-20,45.79,46.04,45.53,45.68,372500,45.22
2011-04-19,45.18,45.85,44.61,44.90,264900,44.45
2011-04-18,44.34,44.98,44.13,44.88,392700,44.43
2011-04-15,44.75,45.53,44.51,45.16,179800,44.70
2011-04-14,44.37,44.92,44.20,44.76,227800,44.31
2011-04-13,44.95,45.19,43.90,44.80,309900,44.35
2011-04-12,45.16,45.22,44.31,44.58,244800,44.13
2011-04-11,46.59,46.59,45.25,45.50,217400,45.04
2011-04-08,47.00,47.13,46.20,46.44,276300,45.97
2011-04-07,46.80,47.78,46.71,46.74,316300,46.27
2011-04-06,48.07,48.21,46.49,46.67,316400,46.20
2011-04-05,47.22,48.18,46.77,47.83,384300,47.35
2011-04-04,47.06,47.84,47.06,47.25,306300,46.77
2011-04-01,46.68,46.91,46.31,46.85,271800,46.38
2011-03-31,45.99,46.58,45.99,46.29,385600,45.82
2011-03-30,46.73,47.10,45.97,45.98,370900,45.52
2011-03-29,45.68,46.53,45.47,46.40,266000,45.93
2011-03-28,46.84,46.84,45.61,45.66,323200,45.20
2011-03-25,45.99,47.11,45.90,46.58,197100,46.11
2011-03-24,45.73,46.15,45.15,45.76,298900,45.30
2011-03-23,45.06,45.71,44.31,45.43,255900,44.97
2011-03-22,46.18,46.36,45.27,45.32,158000,44.86
2011-03-21,45.34,46.16,45.27,46.08,164700,45.61
2011-03-18,44.74,45.25,44.30,44.56,352200,44.11
2011-03-17,45.71,45.71,44.18,44.30,292800,43.85
