x,y
0.0,1.855
0.05,0.0
0.1,-1.1
0.15,-3.772
0.2,-2.452
0.25,-1.383
0.3,-1.698
0.35,0.409
0.4,2.138
0.45,0.503
0.5,1.478
0.55,2.138
0.6,6.162
0.65,3.584
0.7,2.641
0.75,0.189
0.8,-2.798
0.85,-8.268
0.9,-6.413
0.95,-7.576
1.0,-5.721
1.05,-5.439
1.1,-5.218
1.15,-9.777
1.2,-7.01
1.25,-10.877
1.3,-13.706
1.35,-15.215
1.4,-13.172
1.45,-19.334
1.5,-17.039
1.55,-12.826
1.6,-12.889
1.65,-12.889
1.7,-13.926
1.75,-13.109
1.8,-14.681
1.85,-17.07
1.9,-20.874
1.95,-18.108
2.0,-16.473
2.05,-13.235
2.1,-8.834
2.15,-7.922
2.2,-7.419
2.25,-9.588
2.3,-11.6
2.35,-10.123
2.4,-11.694
2.45,-13.801
2.5,-17.667
2.55,-18.202
2.6,-16.85
2.65,-20.371
2.7,-24.049
2.75,-24.332
2.8,-26.375
2.85,-24.08
2.9,-26.03
2.95,-21.817
3.0,-20.465
3.05,-18.642
3.1,-16.441
3.15,-14.555
3.2,-15.561
3.25,-19.176
3.3,-19.302
3.35,-20.937
3.4,-17.793
3.45,-18.296
3.5,-17.636
3.55,-15.844
3.6,-10.971
3.65,-12.889
3.7,-10.877
3.75,-7.419
3.8,-5.564
3.85,-4.213
3.9,-5.281
3.95,-5.816
4.0,-6.696
4.05,-5.627
4.1,-5.69
4.15,-8.582
4.2,-10.594
4.25,-9.431
4.3,-10.028
4.35,-8.142
4.4,-8.111
4.45,-8.205
4.5,-10.846
4.55,-9.054
4.6,-11.38
4.65,-14.052
4.7,-12.952
4.75,-11.6
4.8,-10.248
4.85,-11.977
4.9,-9.085
4.95,-4.59
5.0,-3.961
5.05,-3.867
5.1,-3.175
5.15,-1.918
5.2,-2.798
5.25,-0.88
5.3,0.283
5.35,-1.037
5.4,-1.163
5.45,0.975
5.5,0.597
5.55,1.509
5.6,-0.817
5.65,-1.163
5.7,0.377
5.75,1.981
5.8,2.232
5.85,3.427
5.9,2.798
5.95,3.489
6.0,2.483
6.05,3.552
6.1,5.313
6.15,4.087
6.2,4.527
6.25,7.105
6.3,5.91
6.35,6.319
6.4,7.985
6.45,7.325
6.5,5.061
6.55,3.93
6.6,4.841
6.65,8.959
6.7,9.4
6.75,9.305
6.8,9.368
6.85,6.853
6.9,7.859
6.95,5.627
7.0,7.796
7.05,8.174
7.1,7.922
7.15,10.123
7.2,11.663
7.25,10.971
7.3,11.789
7.35,10.783
7.4,9.022
7.45,9.085
7.5,9.117
7.55,7.733
7.6,7.293
7.65,8.897
7.7,8.582
7.75,8.174
7.8,8.299
7.85,9.085
7.9,9.305
7.95,8.959
8.0,9.62
8.05,14.681
8.1,15.655
8.15,16.693
8.2,17.259
8.25,18.422
8.3,17.542
8.35,16.944
8.4,16.599
8.45,16.944
8.5,17.164
8.55,17.447
8.6,19.742
8.65,20.214
8.7,19.082
8.75,21.786
8.8,22.069
8.85,21.094
8.9,19.742
8.95,20.025
9.0,19.962
9.05,19.145
9.1,19.711
9.15,19.711
9.2,23.389
9.25,21.597
9.3,21.848
9.35,23.955
9.4,23.672
9.45,26.281
9.5,26.187
9.55,28.639
9.6,30.053
9.65,31.531
9.7,33.417
9.75,31.091
9.8,28.482
9.85,28.01
9.9,28.419
9.95,29.268
10.0,37.755
10.05,37.095
10.1,30.462
10.15,37.347
10.2,41.465
10.25,38.919
10.3,38.636
10.35,38.353
10.4,38.824
10.45,38.447
10.5,36.875
10.55,38.541
10.6,38.258
10.65,39.484
10.7,39.359
10.75,39.296
10.8,42.911
10.85,40.805
10.9,37.158
10.95,32.097
11.0,31.562
11.05,33.92
11.1,37.001
11.15,31.562
11.2,35.02
11.25,40.082
11.3,40.05
11.35,37.661
11.4,39.107
11.45,36.812
11.5,33.606
11.55,34.14
11.6,36.561
11.65,38.604
11.7,43.697
11.75,40.648
11.8,42.534
11.85,45.174
11.9,41.654
11.95,43.76
12.0,44.577
12.05,47.249
12.1,43.603
12.15,46.903
12.2,44.577
12.25,46.746
12.3,47.941
12.35,48.444
12.4,51.116
12.45,47.124
12.5,47.752
12.55,46.463
12.6,41.968
12.65,41.308
12.7,39.484
12.75,40.679
12.8,39.39
12.85,42.031
12.9,43.948
12.95,44.671
13.0,45.677
13.05,48.601
13.1,47.941
13.15,44.829
13.2,43.225
13.25,41.654
13.3,38.604
13.35,38.699
13.4,30.462
13.45,33.92
13.5,31.531
13.55,35.586
13.6,35.178
13.65,32.946
13.7,33.008
13.75,30.494
13.8,28.702
13.85,28.639
13.9,34.077
13.95,33.26
14.0,28.922
14.05,28.576
14.1,26.312
14.15,28.513
14.2,30.242
14.25,34.266
14.3,32.757
14.35,29.299
14.4,26.407
14.45,24.489
14.5,23.892
14.55,22.666
14.6,21.691
14.65,21.786
14.7,19.868
14.75,21.597
14.8,20.497
14.85,19.019
14.9,18.768
14.95,17.793
15.0,21.534
15.05,22.98
15.1,22.383
15.15,22.697
15.2,20.843
15.25,22.006
15.3,23.892
15.35,24.175
15.4,25.778
15.45,29.613
15.5,31.688
15.55,34.8
15.6,33.071
15.65,30.871
15.7,29.393
15.75,30.588
15.8,31.405
15.85,27.884
15.9,27.098
15.95,27.318
16.0,28.45
16.05,30.651
16.1,31.562
16.15,29.55
16.2,29.519
16.25,34.769
16.3,27.067
16.35,22.194
16.4,24.489
16.45,20.151
16.5,16.441
16.55,14.964
16.6,7.953
16.65,3.332
16.7,-1.163
16.75,0.817
16.8,-1.886
16.85,3.804
16.9,5.407
16.95,5.47
17.0,4.181
17.05,-0.66
17.1,-6.822
17.15,-4.527
17.2,-7.388
17.25,-3.804
17.3,-0.409
17.35,-2.892
17.4,2.829
17.45,5.753
17.5,8.456
17.55,8.959
17.6,3.552
17.65,-0.786
17.7,4.024
17.75,5.218
17.8,2.609
17.85,2.326
17.9,4.495
17.95,7.01
18.0,5.721
18.05,4.715
18.1,0.597
18.15,-1.226
18.2,-5.061
18.25,-14.398
18.3,-20.057
18.35,-20.591
18.4,-18.736
18.45,-15.184
18.5,-17.447
18.55,-20.591
18.6,-22.949
18.65,-28.167
18.7,-22.069
18.75,-21.031
18.8,-18.013
18.85,-19.805
18.9,-18.831
18.95,-17.447
19.0,-17.636
19.05,-15.435
19.1,-14.115
19.15,-16.63
19.2,-12.135
19.25,-14.461
19.3,-13.078
19.35,-10.783
19.4,-8.771
19.45,-8.928
19.5,-3.741
19.55,-1.446
19.6,-2.672
19.65,-7.985
19.7,-6.099
19.75,-2.704
19.8,-2.672
19.85,-1.76
19.9,-1.666
19.95,-2.641
