Date,Open,High,Low,Close,Volume,Adj Close
2011-11-10,17.05,17.09,16.75,17.03,1077200,17.03
2011-11-09,16.83,16.88,16.55,16.62,1555000,16.62
2011-11-08,17.52,17.70,17.32,17.68,1034700,17.68
2011-11-07,17.33,17.47,17.10,17.38,950300,17.38
2011-11-04,17.60,17.67,17.31,17.47,729500,17.47
2011-11-03,17.74,17.87,17.34,17.82,1014400,17.82
2011-11-02,17.22,17.43,17.15,17.30,992200,17.30
2011-11-01,17.02,17.27,16.97,17.09,1850600,17.09
2011-10-31,18.56,18.56,17.98,17.98,1012600,17.98
2011-10-28,18.87,18.99,18.82,18.98,1188200,18.98
2011-10-27,18.96,19.41,18.76,19.34,2093500,19.34
2011-10-26,18.53,18.57,17.98,18.30,841000,18.30
2011-10-25,17.96,18.20,17.75,18.02,759300,18.02
2011-10-24,17.69,18.22,17.67,18.21,895500,18.21
2011-10-21,17.77,18.00,17.74,17.99,891200,17.99
2011-10-20,17.60,17.64,17.21,17.54,1141900,17.54
2011-10-19,17.76,17.86,17.61,17.64,791500,17.64
2011-10-18,17.57,18.04,17.46,17.95,810900,17.95
2011-10-17,18.14,18.16,17.78,17.84,833400,17.84
2011-10-14,18.31,18.42,18.16,18.30,874600,18.30
2011-10-13,17.90,18.07,17.70,18.06,975200,18.06
2011-10-12,17.92,18.17,17.91,18.07,1530400,18.07
2011-10-11,17.38,17.64,17.31,17.58,899900,17.58
2011-10-10,17.51,17.77,17.45,17.68,1096900,17.68
2011-10-07,17.16,17.29,16.95,16.98,765000,16.98
2011-10-06,16.54,17.18,16.51,17.16,1900100,17.16
2011-10-05,16.32,16.77,16.20,16.74,1144800,16.74
2011-10-04,15.90,16.26,15.68,16.25,1407600,16.25
2011-10-03,16.09,16.28,15.79,15.80,1429600,15.80
2011-09-30,16.39,16.52,16.30,16.37,1699700,16.37
2011-09-29,16.75,16.78,16.41,16.63,2367000,16.63
2011-09-28,16.59,16.67,16.12,16.12,2138500,16.12
2011-09-27,16.52,16.66,16.30,16.35,3043900,16.35
2011-09-26,15.79,16.00,15.45,15.98,2424800,15.98
2011-09-23,15.19,15.68,15.16,15.68,2101400,15.68
2011-09-22,15.26,15.56,15.21,15.52,2459900,15.52
2011-09-21,16.29,16.35,15.90,15.91,1233600,15.91
2011-09-20,16.36,16.55,16.18,16.35,1675500,16.35
2011-09-19,16.00,16.36,15.91,16.30,1702300,16.30
2011-09-16,16.81,16.89,16.55,16.71,1692900,16.71
2011-09-15,16.79,16.90,16.55,16.90,1826900,16.90
2011-09-14,16.21,16.57,15.93,16.42,1812500,16.42
2011-09-13,15.73,16.09,15.67,16.03,2453300,16.03
2011-09-12,15.71,15.91,15.39,15.75,5232400,15.75
2011-09-09,16.77,16.80,16.32,16.41,3029200,16.41
2011-09-08,17.15,17.36,17.02,17.09,1714900,17.09
2011-09-07,16.97,17.25,16.91,17.24,1816400,17.24
2011-09-06,16.83,17.10,16.71,16.96,2727200,16.96
2011-09-02,18.00,18.09,17.82,17.88,1355100,17.88
2011-09-01,18.36,18.62,18.23,18.28,1587800,18.28
2011-08-31,18.44,18.51,18.15,18.29,1937000,18.29
2011-08-30,18.77,19.04,18.68,18.97,2553500,18.12
2011-08-29,18.88,19.10,18.88,19.10,1452100,18.24
2011-08-26,18.20,18.59,18.06,18.52,1017300,17.69
2011-08-25,18.88,18.96,18.42,18.46,1235700,17.63
2011-08-24,18.90,19.14,18.84,19.06,1131700,18.21
2011-08-23,18.56,18.93,18.46,18.93,1492600,18.08
2011-08-22,18.64,18.64,18.19,18.22,1781100,17.40
2011-08-19,17.97,18.32,17.79,17.79,1815600,16.99
2011-08-18,18.58,18.61,18.08,18.25,2251200,17.43
2011-08-17,19.08,19.30,19.01,19.09,1173900,18.23
2011-08-16,18.84,19.16,18.71,18.87,1141000,18.02
2011-08-15,18.98,19.20,18.94,19.18,1163800,18.32
2011-08-12,18.42,18.65,18.24,18.57,1790500,17.74
2011-08-11,17.22,18.22,17.21,18.06,2804500,17.25
2011-08-10,18.34,18.38,17.53,17.57,4752500,16.78
2011-08-09,18.43,18.68,17.83,18.68,2891700,17.84
2011-08-08,19.05,19.24,18.32,18.35,2519900,17.53
2011-08-05,19.36,19.59,18.75,19.48,3910400,18.61
2011-08-04,19.79,19.81,18.98,19.00,2443800,18.15
2011-08-03,20.11,20.13,19.73,20.02,2145800,19.12
