x,y
0.0,-0.126
0.05,0.0
0.1,-1.425
0.15,-3.185
0.2,-2.557
0.25,-2.934
0.3,-4.82
0.35,-4.652
0.4,-4.946
0.45,-6.287
0.5,-8.676
0.55,-8.55
0.6,-7.712
0.65,-9.095
0.7,-11.19
0.75,-14.459
0.8,-15.717
0.85,-17.016
0.9,-13.705
0.95,-15.256
1.0,-13.873
1.05,-15.381
1.1,-16.303
1.15,-18.776
1.2,-17.435
1.25,-19.866
1.3,-20.704
1.35,-20.495
1.4,-19.74
1.45,-22.8
1.5,-20.83
1.55,-20.662
1.6,-19.279
1.65,-22.464
1.7,-21.668
1.75,-19.698
1.8,-21.459
1.85,-23.177
1.9,-24.602
1.95,-25.733
2.0,-25.44
2.05,-24.476
2.1,-21.836
2.15,-19.992
2.2,-19.866
2.25,-19.656
2.3,-19.992
2.35,-20.243
2.4,-21.961
2.45,-23.177
2.5,-22.674
2.55,-24.015
2.6,-24.099
2.65,-24.937
2.7,-27.2
2.75,-26.362
2.8,-24.644
2.85,-21.584
2.9,-21.417
2.95,-20.243
3.0,-20.788
3.05,-22.003
3.1,-20.369
3.15,-19.95
3.2,-18.441
3.25,-18.65
3.3,-19.447
3.35,-21.291
3.4,-20.662
3.45,-20.243
3.5,-19.95
3.55,-18.86
3.6,-17.184
3.65,-17.309
3.7,-11.526
3.75,-12.615
3.8,-10.059
3.85,-9.765
3.9,-9.891
3.95,-9.807
4.0,-10.017
4.05,-8.969
4.1,-9.64
4.15,-11.819
4.2,-12.615
4.25,-11.484
4.3,-12.028
4.35,-10.645
4.4,-11.19
4.45,-11.567
4.5,-13.956
4.55,-12.699
4.6,-14.166
4.65,-18.231
4.7,-17.142
4.75,-15.717
4.8,-15.004
4.85,-14.92
4.9,-13.747
4.95,-13.537
5.0,-12.49
5.05,-14.04
5.1,-13.789
5.15,-12.825
5.2,-13.244
5.25,-12.028
5.3,-11.861
5.35,-10.897
5.4,-10.562
5.45,-10.729
5.5,-11.065
5.55,-8.969
5.6,-9.179
5.65,-10.52
5.7,-9.095
5.75,-8.843
5.8,-9.137
5.85,-8.34
5.9,-8.382
5.95,-7.963
6.0,-9.22
6.05,-7.921
6.1,-6.58
6.15,-5.616
6.2,-6.245
6.25,-6.496
6.3,-7.628
6.35,-6.37
6.4,-4.568
6.45,-1.509
6.5,-3.06
6.55,-3.982
6.6,-4.526
6.65,-2.64
6.7,-2.598
6.75,-2.221
6.8,-3.269
6.85,-2.682
6.9,0.545
6.95,0.964
7.0,0.168
7.05,2.221
7.1,1.509
7.15,2.64
7.2,1.174
7.25,-0.629
7.3,0.461
7.35,-1.299
7.4,-2.64
7.45,-3.353
7.5,-3.311
7.55,-4.736
7.6,-6.203
7.65,-4.359
7.7,-4.023
7.75,-4.401
7.8,-7.67
7.85,-8.759
7.9,-10.017
7.95,-12.322
8.0,-14.753
8.05,-12.951
8.1,-13.537
8.15,-11.316
8.2,-12.49
8.25,-11.106
8.3,-12.07
8.35,-10.604
8.4,-11.4
8.45,-10.436
8.5,-10.059
8.55,-10.52
8.6,-10.939
8.65,-11.316
8.7,-11.316
8.75,-11.316
8.8,-11.987
8.85,-12.07
8.9,-12.615
8.95,-11.819
9.0,-12.531
9.05,-12.196
9.1,-12.364
9.15,-11.065
9.2,-10.268
9.25,-12.07
9.3,-10.897
9.35,-12.531
9.4,-14.878
9.45,-15.004
9.5,-13.453
9.55,-11.106
9.6,-11.651
9.65,-11.819
9.7,-11.316
9.75,-11.567
9.8,-7.586
9.85,-7.544
9.9,-6.915
9.95,-6.454
10.0,-6.999
10.05,-7.754
10.1,-8.089
10.15,-7.125
10.2,-5.407
10.25,-5.868
10.3,-6.161
10.35,-6.748
10.4,-6.287
10.45,-5.993
10.5,-7.418
10.55,-7.879
10.6,-8.676
10.65,-8.759
10.7,-8.466
10.75,-7.418
10.8,-6.329
10.85,-6.077
10.9,-6.748
10.95,-8.382
11.0,-8.047
11.05,-7.083
11.1,-7.125
11.15,-8.005
11.2,-7.963
11.25,-7.125
11.3,-7.879
11.35,-8.801
11.4,-8.801
11.45,-9.807
11.5,-9.975
11.55,-10.394
11.6,-13.956
11.65,-13.076
11.7,-12.28
11.75,-10.268
11.8,-8.34
11.85,-7.334
11.9,-8.047
11.95,-7.209
12.0,-6.957
12.05,-7.376
12.1,-7.837
12.15,-6.748
12.2,-5.951
12.25,-6.748
12.3,-5.071
12.35,-5.826
12.4,-5.197
12.45,-5.071
12.5,-4.149
12.55,-3.688
12.6,-4.652
12.65,-4.526
12.7,-5.574
12.75,-5.909
12.8,-7.502
12.85,-8.089
12.9,-5.323
12.95,-5.909
13.0,-5.7
13.05,-5.155
13.1,-3.688
13.15,-2.012
13.2,-1.341
13.25,-1.257
13.3,-1.844
13.35,-1.299
13.4,-3.521
13.45,-4.065
13.5,-6.37
13.55,-4.987
13.6,-5.197
13.65,-6.58
13.7,-6.915
13.75,-7.795
13.8,-7.418
13.85,-6.957
13.9,-5.155
13.95,-5.155
14.0,-7.837
14.05,-6.664
14.1,-7.712
14.15,-6.79
14.2,-5.532
14.25,-4.023
14.3,-4.987
14.35,-5.826
14.4,-6.957
14.45,-6.454
14.5,-10.562
14.55,-11.232
14.6,-11.316
14.65,-11.567
14.7,-12.909
14.75,-12.238
14.8,-14.334
14.85,-15.801
14.9,-13.412
14.95,-14.334
15.0,-13.286
15.05,-12.699
15.1,-14.711
15.15,-14.753
15.2,-15.465
15.25,-14.795
15.3,-13.286
15.35,-11.609
15.4,-11.316
15.45,-12.112
15.5,-13.789
15.55,-13.034
15.6,-13.956
15.65,-17.351
15.7,-19.07
15.75,-18.148
15.8,-16.932
15.85,-17.561
15.9,-18.818
15.95,-18.106
16.0,-16.262
16.05,-14.334
16.1,-12.783
16.15,-13.747
16.2,-12.531
16.25,-13.286
16.3,-14.25
16.35,-13.537
16.4,-13.16
16.45,-15.842
16.5,-15.717
16.55,-17.058
16.6,-18.86
16.65,-20.159
16.7,-22.758
16.75,-23.135
16.8,-27.829
16.85,-22.8
16.9,-20.453
16.95,-21.039
17.0,-20.034
17.05,-22.129
17.1,-24.686
17.15,-21.878
17.2,-22.213
17.25,-20.788
17.3,-20.872
17.35,-23.722
17.4,-20.872
17.45,-21.333
17.5,-22.716
17.55,-23.051
17.6,-24.56
17.65,-29.464
17.7,-28.877
17.75,-28.122
17.8,-29.715
17.85,-34.158
17.9,-34.074
17.95,-32.062
18.0,-29.631
18.05,-29.547
18.1,-32.942
18.15,-31.433
18.2,-31.727
18.25,-36.044
18.3,-36.337
18.35,-33.822
18.4,-30.763
18.45,-30.469
18.5,-29.799
18.55,-31.308
18.6,-32.565
18.65,-33.361
18.7,-31.601
18.75,-30.679
18.8,-28.08
18.85,-26.614
18.9,-27.158
18.95,-24.895
19.0,-24.979
19.05,-23.261
19.1,-23.973
19.15,-26.362
19.2,-25.566
19.25,-26.236
19.3,-25.524
19.35,-25.859
19.4,-24.728
19.45,-22.339
19.5,-20.536
19.55,-20.914
