Date,Open,High,Low,Close,Volume,Adj Close
2011-11-10,101.87,101.94,98.14,99.50,8536500,99.50
2011-11-09,104.99,105.00,98.83,99.67,10596500,99.67
2011-11-08,106.41,109.26,106.20,108.58,6138600,108.58
2011-11-07,104.95,106.15,103.75,105.57,4696900,105.57
2011-11-04,106.33,106.57,103.81,105.04,6074600,105.04
2011-11-03,108.03,108.71,102.09,107.68,8295100,107.68
2011-11-02,106.45,107.25,104.75,106.13,5602800,106.13
2011-11-01,103.49,107.10,102.71,103.54,10225400,103.54
2011-10-31,112.79,113.89,109.48,109.55,8071700,109.55
2011-10-28,114.34,118.07,114.00,115.86,8249500,115.86
2011-10-27,110.33,117.53,110.00,116.40,16418100,116.40
2011-10-26,101.90,106.74,101.36,106.33,11751700,106.33
2011-10-25,103.05,103.17,100.08,100.44,5150100,100.44
2011-10-24,102.65,104.73,102.58,103.98,5616600,103.98
2011-10-21,101.74,103.06,100.59,102.09,5854800,102.09
2011-10-20,101.69,102.17,98.28,100.86,7351200,100.86
2011-10-19,101.55,104.94,100.32,100.79,9959400,100.79
2011-10-18,98.19,103.74,96.55,102.25,16777200,102.25
2011-10-17,95.51,97.89,95.17,96.90,7216000,96.90
2011-10-14,96.79,97.84,94.65,96.73,5557400,96.73
2011-10-13,97.87,98.02,94.52,96.15,6571500,96.15
2011-10-12,98.20,101.13,96.39,99.11,8237900,99.11
2011-10-11,94.56,98.81,94.00,96.70,7065300,96.70
2011-10-10,94.92,96.39,93.95,96.14,6123500,96.14
2011-10-07,98.07,98.07,92.25,92.69,7636900,92.69
2011-10-06,94.00,98.00,91.76,97.93,7604000,97.93
2011-10-05,93.87,95.54,90.82,94.29,8455400,94.29
2011-10-04,88.32,95.22,84.27,94.58,11986900,94.58
2011-10-03,93.74,95.72,89.88,90.08,7745200,90.08
2011-09-30,98.28,98.40,94.46,94.55,5780200,94.55
2011-09-29,98.65,99.98,97.20,99.87,5949200,99.87
