x,y
0.0,-0.879
0.05,0.0
0.1,-1.035
0.15,-16.137
0.2,-10.294
0.25,-12.865
0.3,-14.881
0.35,-13.663
0.4,-15.533
0.45,-19.02
0.5,-15.565
0.55,-14.008
0.6,-18.131
0.65,-20.319
0.7,-19.678
0.75,-20.179
0.8,-20.513
0.85,-21.645
0.9,-19.645
0.95,-23.251
1.0,-22.259
1.05,-20.039
1.1,-22.707
1.15,-22.674
1.2,-22.556
1.25,-25.649
1.3,-25.515
1.35,-26.118
1.4,-23.467
1.45,-27.385
1.5,-22.232
1.55,-22.965
1.6,-22.162
1.65,-22.249
1.7,-23.467
1.75,-21.898
1.8,-23.375
1.85,-23.316
1.9,-25.008
1.95,-25.305
2.0,-25.838
2.05,-28.139
2.1,-26.102
2.15,-27.439
2.2,-26.668
2.25,-26.188
2.3,-25.72
2.35,-24.733
2.4,-25.87
2.45,-27.832
2.5,-27.703
2.55,-26.167
2.6,-24.34
2.65,-27.25
2.7,-27.951
2.75,-29.023
2.8,-28.797
2.85,-27.919
2.9,-28.619
2.95,-26.205
3.0,-27.045
3.05,-25.833
3.1,-25.353
3.15,-24.927
3.2,-24.534
3.25,-18.363
3.3,-20.411
3.35,-23.37
3.4,-19.128
3.45,-19.759
3.5,-20.96
3.55,-20.562
3.6,-19.645
3.65,-20.772
3.7,-20.087
3.75,-18.427
3.8,-17.635
3.85,-18.012
3.9,-17.204
3.95,-16.121
4.0,-16.708
4.05,-15.959
4.1,-16.988
4.15,-18.228
4.2,-20.335
4.25,-19.489
4.3,-20.459
4.35,-19.866
4.4,-19.942
4.45,-19.872
4.5,-20.535
4.55,-20.168
4.6,-21.958
4.65,-23.03
4.7,-21.882
4.75,-23.936
4.8,-25.175
4.85,-26.566
4.9,-25.078
4.95,-24.582
5.0,-23.671
5.05,-21.23
5.1,-21.645
5.15,-19.268
5.2,-19.446
5.25,-17.904
5.3,-17.247
5.35,-18.255
5.4,-17.926
5.45,-18.018
5.5,-18.627
5.55,-18.018
5.6,-19.182
5.65,-21.117
5.7,-21.176
5.75,-20.766
5.8,-21.036
5.85,-21.839
5.9,-21.715
5.95,-21.742
6.0,-20.395
6.05,-20.47
6.1,-19.29
6.15,-18.018
6.2,-18.535
6.25,-17.716
6.3,-18.454
6.35,-15.759
6.4,-16.875
6.45,-17.705
6.5,-18.654
6.55,-16.385
6.6,-15.808
6.65,-13.992
6.7,-13.825
6.75,-14.11
6.8,-15.533
6.85,-15.28
6.9,-13.302
6.95,-12.606
7.0,-12.811
7.05,-12.655
7.1,-12.051
7.15,-11.814
7.2,-10.537
7.25,-8.403
7.3,-8.214
7.35,-10.364
7.4,-10.645
7.45,-10.321
7.5,-10.704
7.55,-10.639
7.6,-11.006
7.65,-10.699
7.7,-9.723
7.75,-11.448
7.8,-14.25
7.85,-14.326
7.9,-14.595
7.95,-15.118
8.0,-14.805
8.05,-14.601
8.1,-14.218
8.15,-13.059
8.2,-12.871
8.25,-11.329
8.3,-12.709
8.35,-9.992
8.4,-10.31
8.45,-9.319
8.5,-8.553
8.55,-10.186
8.6,-10.699
8.65,-11.652
8.7,-11.749
8.75,-10.24
8.8,-9.092
8.85,-8.861
8.9,-10.106
8.95,-8.376
9.0,-8.699
9.05,-9.405
9.1,-9.68
9.15,-8.079
9.2,-6.29
9.25,-7.271
9.3,-5.945
9.35,-6.92
9.4,-8.376
9.45,-8.106
9.5,-8.704
9.55,-7.276
9.6,-7.734
9.65,-5.815
9.7,-8.667
9.75,-10.235
9.8,-10.596
9.85,-10.537
9.9,-12.121
9.95,-12.849
10.0,-13.156
10.05,-11.523
10.1,-13.021
10.15,-11.685
10.2,-10.99
10.25,-11.076
10.3,-11.135
10.35,-11.184
10.4,-9.982
10.45,-9.33
10.5,-10.99
10.55,-11.011
10.6,-10.451
10.65,-9.82
10.7,-9.152
10.75,-9.162
10.8,-9.971
10.85,-10.709
10.9,-12.348
10.95,-12.579
11.0,-11.582
11.05,-10.785
11.1,-11.852
11.15,-12.914
11.2,-12.305
11.25,-12.213
11.3,-13.005
11.35,-14.072
11.4,-12.768
11.45,-13.334
11.5,-13.846
11.55,-13.798
11.6,-15.889
11.65,-15.258
11.7,-15.959
11.75,-15.598
11.8,-12.892
11.85,-13.42
11.9,-13.754
11.95,-13.577
12.0,-13.49
12.05,-14.735
12.1,-15.598
12.15,-14.288
12.2,-15.177
12.25,-13.889
12.3,-13.356
12.35,-14.595
12.4,-13.825
12.45,-12.693
12.5,-11.884
12.55,-13.474
12.6,-13.63
12.65,-12.418
12.7,-15.107
12.75,-15.824
12.8,-16.972
12.85,-15.873
12.9,-17.446
12.95,-17.489
13.0,-17.764
13.05,-18.136
13.1,-17.215
13.15,-17.781
13.2,-19.004
13.25,-17.969
13.3,-18.632
13.35,-17.942
13.4,-18.686
13.45,-18.363
13.5,-19.317
13.55,-19.683
13.6,-19.155
13.65,-21.316
13.7,-23.256
13.75,-24.065
13.8,-24.404
13.85,-24.043
13.9,-23.882
