x,y
0.0,-0.356
0.05,0.0
0.1,-4.926
0.15,-7.332
0.2,-6.417
0.25,-6.03
0.3,-6.784
0.35,-7.586
0.4,-7.971
0.45,-10.676
0.5,-10.144
0.55,-9.93
0.6,-10.308
0.65,-11.09
0.7,-11.086
0.75,-15.399
0.8,-14.087
0.85,-15.57
0.9,-13.206
0.95,-12.919
1.0,-13.532
1.05,-12.778
1.1,-13.915
1.15,-14.42
1.2,-13.876
1.25,-16.196
1.3,-18.086
1.35,-20.79
1.4,-18.819
1.45,-20.943
1.5,-18.593
1.55,-18.106
1.6,-16.791
1.65,-18.87
1.7,-17.814
1.75,-16.391
1.8,-15.612
1.85,-15.724
1.9,-17.617
1.95,-17.723
2.0,-18.88
2.05,-18.52
2.1,-16.497
2.15,-18.422
2.2,-16.212
2.25,-14.982
2.3,-15.141
2.35,-15.582
2.4,-17.27
2.45,-17.779
2.5,-19.0
2.55,-19.439
2.6,-20.194
2.65,-21.739
2.7,-23.171
2.75,-24.804
2.8,-25.423
2.85,-25.022
2.9,-25.982
2.95,-23.409
3.0,-20.3
3.05,-20.231
3.1,-18.562
3.15,-17.274
3.2,-16.961
3.25,-20.78
3.3,-22.149
3.35,-22.146
3.4,-18.267
3.45,-18.397
3.5,-18.812
3.55,-17.407
3.6,-17.156
3.65,-16.419
3.7,-17.937
3.75,-19.001
3.8,-17.424
3.85,-17.169
3.9,-16.885
3.95,-14.57
4.0,-14.653
4.05,-15.185
4.1,-15.168
4.15,-15.948
4.2,-18.277
4.25,-17.422
4.3,-18.321
4.35,-17.502
4.4,-17.179
4.45,-18.772
4.5,-20.974
4.55,-22.066
4.6,-22.708
4.65,-24.008
4.7,-22.985
4.75,-23.576
4.8,-22.463
4.85,-23.99
4.9,-23.167
4.95,-21.84
5.0,-20.543
5.05,-21.56
5.1,-21.443
5.15,-19.309
5.2,-19.108
5.25,-18.79
5.3,-18.603
5.35,-18.951
5.4,-18.951
5.45,-18.309
5.5,-16.831
5.55,-13.93
5.6,-13.393
5.65,-13.098
5.7,-11.894
5.75,-10.693
5.8,-9.911
5.85,-10.862
5.9,-10.641
5.95,-10.499
6.0,-11.351
6.05,-10.772
6.1,-8.935
6.15,-9.45
6.2,-10.031
6.25,-9.067
6.3,-8.79
6.35,-7.628
6.4,-8.104
6.45,1.199
6.5,1.415
6.55,2.817
6.6,2.697
6.65,3.266
6.7,3.335
6.75,3.955
6.8,3.534
6.85,3.985
6.9,4.708
6.95,4.205
7.0,3.979
7.05,4.475
7.1,4.277
7.15,5.483
7.2,5.237
7.25,5.379
7.3,6.388
7.35,5.051
7.4,4.649
7.45,3.685
7.5,1.842
7.55,0.1
7.6,-1.211
7.65,-0.535
7.7,0.816
7.75,-0.794
7.8,-0.871
7.85,-0.821
7.9,-0.289
7.95,-0.507
8.0,-3.014
8.05,-4.926
8.1,-3.97
8.15,-3.837
8.2,-1.959
8.25,-0.152
8.3,-0.034
8.35,0.289
8.4,0.164
8.45,0.836
8.5,0.831
8.55,0.343
8.6,0.115
8.65,-0.198
8.7,0.419
8.75,1.081
8.8,1.998
8.85,2.224
8.9,1.785
8.95,1.668
9.0,1.66
9.05,0.985
9.1,0.772
9.15,0.728
9.2,2.271
9.25,1.334
9.3,3.126
9.35,4.009
9.4,3.822
