Date,Open,High,Low,Close,Volume,Adj Close
2011-11-10,69.63,69.80,68.65,69.55,2291100,69.55
2011-11-09,69.29,69.62,68.20,68.34,3032400,68.34
2011-11-08,71.39,72.03,70.73,71.93,2636600,71.93
2011-11-07,69.90,70.53,69.44,70.51,2930200,70.51
2011-11-04,69.50,70.10,69.01,69.96,2022200,69.96
2011-11-03,69.86,70.86,69.27,70.70,3194000,70.70
2011-11-02,68.62,69.65,68.52,68.92,4968200,68.92
2011-11-01,68.15,70.18,67.89,69.57,3573500,68.73
2011-10-31,72.10,72.31,70.81,70.91,2665300,70.05
2011-10-28,72.15,72.81,72.08,72.43,2788200,71.56
2011-10-27,74.04,74.05,72.71,73.31,4765400,72.42
2011-10-26,72.33,72.58,71.22,72.37,2876500,71.50
2011-10-25,71.33,71.93,70.28,71.24,3583900,70.38
2011-10-24,70.66,71.73,70.60,71.46,1944800,70.60
2011-10-21,71.08,72.01,70.99,71.78,2528400,70.91
2011-10-20,69.98,70.37,69.15,70.27,3475700,69.42
2011-10-19,70.18,70.43,69.16,69.29,2670300,68.45
2011-10-18,68.41,70.29,67.87,69.66,2645100,68.82
2011-10-17,69.37,69.39,68.32,68.64,2544000,67.81
2011-10-14,68.94,69.52,68.87,69.42,2620200,68.58
2011-10-13,66.92,68.05,66.53,67.91,2969100,67.09
2011-10-12,66.96,67.59,66.72,66.79,2808100,65.98
2011-10-11,65.55,66.56,65.48,66.36,2759900,65.56
2011-10-10,66.26,66.85,65.70,66.22,2929200,65.42
2011-10-07,64.59,65.10,63.68,63.90,3604400,63.13
2011-10-06,61.50,63.35,61.42,63.28,4576000,62.52
2011-10-05,61.80,62.64,61.21,62.58,2684100,61.82
2011-10-04,58.74,61.21,57.97,61.11,6700000,60.37
2011-10-03,60.46,61.26,59.64,59.70,3708900,58.98
2011-09-30,61.95,62.69,61.51,61.52,2714000,60.78
2011-09-29,62.88,63.32,61.93,62.96,3813300,62.20
2011-09-28,63.09,63.24,61.21,61.26,3197600,60.52
2011-09-27,63.12,64.03,62.67,62.89,2814600,62.13
2011-09-26,61.21,62.06,60.04,61.96,4259100,61.21
2011-09-23,60.19,61.72,60.05,61.32,4516700,60.58
2011-09-22,60.75,61.96,60.65,61.65,5609800,60.91
2011-09-21,65.24,65.37,63.10,63.15,3806900,62.39
2011-09-20,65.43,66.69,65.11,65.76,2930200,64.97
2011-09-19,64.27,65.71,63.84,65.38,3256000,64.59
2011-09-16,66.34,66.63,65.67,66.34,2121600,65.54
2011-09-15,66.20,66.99,65.89,66.86,3676700,66.05
2011-09-14,64.58,65.48,63.27,64.89,2681600,64.11
2011-09-13,63.18,64.77,62.92,64.32,4556100,63.54
2011-09-12,61.85,63.87,61.84,63.82,4730800,63.05
2011-09-09,64.70,64.81,63.34,63.82,3385200,63.05
2011-09-08,65.20,66.37,64.97,65.18,2636500,64.39
2011-09-07,64.88,65.98,64.67,65.98,3865200,65.18
2011-09-06,61.87,64.15,61.87,64.07,5622700,63.30
2011-09-02,65.40,66.13,64.98,65.67,2276100,64.88
2011-09-01,66.96,67.78,66.50,66.57,3065800,65.77
2011-08-31,66.50,67.62,66.42,67.05,4229400,66.24
2011-08-30,64.88,66.04,64.38,65.76,2409900,64.97
2011-08-29,65.02,65.43,64.64,65.33,1998100,64.54
2011-08-26,62.55,64.65,62.00,64.22,3150100,63.44
2011-08-25,64.10,64.57,62.84,63.16,3421900,62.40
2011-08-24,64.44,65.52,64.08,64.89,2580600,64.11
2011-08-23,64.23,65.44,63.70,65.44,4075900,64.65
2011-08-22,64.91,64.94,62.79,63.08,3824000,62.32
2011-08-19,61.94,63.19,61.62,61.72,3940500,60.97
2011-08-18,64.41,64.46,62.66,63.59,3465300,62.82
2011-08-17,66.07,66.63,65.63,65.97,2725300,65.17
2011-08-16,65.30,66.63,65.00,65.65,3064800,64.86
2011-08-15,66.00,66.72,65.82,66.66,2715500,65.86
2011-08-12,64.96,65.78,64.38,65.64,3365600,64.85
2011-08-11,61.39,64.79,61.07,64.12,4964900,63.35
2011-08-10,62.73,63.40,61.00,61.35,4725700,60.61
2011-08-09,62.47,64.04,60.25,63.93,6052600,63.16
2011-08-08,61.97,63.10,59.85,60.01,8590500,59.29
2011-08-05,64.82,65.47,61.94,64.40,11267900,63.62
2011-08-04,66.87,66.98,64.44,64.58,7379700,63.80
2011-08-03,70.59,70.72,68.90,69.48,3592900,68.64
2011-08-02,71.92,72.60,71.42,71.51,3858400,69.82
2011-08-01,74.07,74.17,71.83,72.55,3181300,70.83
2011-07-29,73.40,74.19,73.20,73.56,2658800,71.82
2011-07-28,73.32,74.27,73.26,73.55,2026600,71.81
2011-07-27,74.56,74.69,73.15,73.48,2497400,71.74
2011-07-26,75.10,75.56,74.81,75.14,3875700,73.36
2011-07-25,74.16,74.75,73.98,74.64,2073700,72.87
2011-07-22,74.26,74.29,73.82,74.13,1930700,72.37
2011-07-21,73.57,74.45,73.27,74.31,3006200,72.55
2011-07-20,72.11,72.48,71.88,72.21,4787700,70.50
2011-07-19,71.52,72.50,71.52,72.13,3882400,70.42
2011-07-18,71.33,71.50,70.85,71.42,4210900,69.73
2011-07-15,71.74,72.34,71.47,71.90,4543500,70.20
2011-07-14,71.52,71.87,71.17,71.31,6465000,69.62
2011-07-13,70.73,72.14,70.69,71.14,3238500,69.46
2011-07-12,70.30,71.21,70.26,70.47,2636200,68.80
2011-07-11,71.15,71.73,70.83,71.04,3377700,69.36
2011-07-08,72.65,73.04,72.23,73.03,2421700,71.30
2011-07-07,73.02,73.33,72.53,73.16,2698600,71.43
2011-07-06,71.58,72.16,71.33,72.14,1609200,70.43
2011-07-05,72.30,72.47,71.71,71.76,1970000,70.06
2011-07-01,70.99,71.61,70.65,71.52,1734200,69.83
2011-06-30,70.15,71.27,69.97,71.13,1596900,69.45
2011-06-29,69.36,70.14,69.09,69.97,1659900,68.31
2011-06-28,68.56,69.31,68.41,69.05,1619100,67.41
2011-06-27,67.44,68.46,67.30,68.11,1292600,66.50
2011-06-24,67.93,68.06,67.20,67.36,1788300,65.76
2011-06-23,67.53,68.64,66.90,68.58,2393900,66.96
2011-06-22,69.86,70.25,69.28,69.30,2086600,67.66
2011-06-21,69.42,70.53,69.32,70.31,2968800,68.65
2011-06-20,68.36,68.82,68.35,68.70,1411500,67.07
2011-06-17,68.66,68.78,68.14,68.45,1556500,66.83
2011-06-16,67.47,68.05,67.09,67.79,2252800,66.18
2011-06-15,68.99,69.40,68.04,68.30,2307100,66.68
2011-06-14,69.98,70.54,69.88,70.13,2176700,68.47
2011-06-13,69.45,69.67,68.50,69.09,2442700,67.45
2011-06-10,70.02,70.08,68.60,68.80,2093000,67.17
2011-06-09,69.68,70.61,69.54,70.34,1362800,68.67
2011-06-08,69.44,69.95,69.06,69.29,1941600,67.65
2011-06-07,70.11,70.36,69.36,69.40,2088700,67.76
2011-06-06,70.60,70.65,69.31,69.34,1771200,67.70
2011-06-03,68.88,70.48,68.84,69.86,2189500,68.21
2011-06-02,70.01,70.26,69.23,69.96,2761700,68.30
2011-06-01,71.30,71.42,69.77,69.92,2659200,68.26
2011-05-31,71.91,71.92,71.14,71.43,3205700,69.74
2011-05-27,69.95,70.48,69.87,70.03,1370700,68.37
2011-05-26,69.66,70.62,69.28,70.28,1961000,68.62
2011-05-25,69.01,69.28,68.30,69.01,1828600,67.38
2011-05-24,68.69,69.17,68.44,68.68,2455700,67.05
2011-05-23,67.61,68.15,67.41,68.00,2747700,66.39
2011-05-20,69.95,70.15,69.07,69.64,2691200,67.99
2011-05-19,70.49,70.65,69.85,70.63,1964400,68.96
2011-05-18,69.37,70.22,69.24,70.04,2013500,68.38
2011-05-17,68.70,69.57,68.54,69.43,2603400,67.79
2011-05-16,68.97,69.87,68.80,69.03,2486000,67.40
2011-05-13,70.45,70.60,68.87,69.63,3344200,67.98
2011-05-12,70.79,71.35,70.11,71.09,2612700,69.41
2011-05-11,72.84,72.88,71.38,71.65,2644400,69.95
2011-05-10,72.93,73.83,72.81,73.61,2325900,71.05
2011-05-09,71.49,72.68,71.19,72.44,2646900,69.92
2011-05-06,72.62,73.28,71.46,71.83,3126500,69.33
2011-05-05,73.90,74.11,72.36,72.84,2658700,70.30
2011-05-04,76.13,76.17,74.81,75.45,2813300,72.82
2011-05-03,76.80,76.93,75.76,76.14,2929100,73.49
2011-05-02,77.83,77.97,77.29,77.40,2013900,74.70
2011-04-29,77.26,77.65,77.13,77.48,1713400,74.78
2011-04-28,77.09,77.65,77.02,77.61,2135800,74.91
2011-04-27,76.71,76.99,76.05,76.85,2471700,74.17
2011-04-26,75.38,75.64,75.12,75.57,1500000,72.94
2011-04-25,75.01,75.12,74.66,75.05,1597600,72.44
2011-04-21,75.05,75.06,74.44,74.69,1282200,72.09
2011-04-20,73.89,74.35,73.84,74.15,1601100,71.57
2011-04-19,71.28,71.71,71.18,71.59,1263400,69.10
2011-04-18,71.40,71.61,70.32,71.22,2064100,68.74
2011-04-15,72.90,73.22,72.38,72.86,1373500,70.32
2011-04-14,72.51,73.53,72.39,73.36,1851300,70.81
2011-04-13,73.43,73.59,72.83,72.94,1934200,70.40
2011-04-12,73.65,73.66,72.28,72.53,3570500,70.00
2011-04-11,75.01,75.17,74.16,74.48,1370800,71.89
2011-04-08,75.04,75.24,74.67,75.02,1873200,72.41
2011-04-07,73.77,74.13,73.61,74.10,1869000,71.52
2011-04-06,74.07,74.39,73.94,74.18,1301600,71.60
2011-04-05,73.32,74.00,73.32,73.74,1920900,71.17
2011-04-04,74.15,74.23,73.57,73.75,1705400,71.18
2011-04-01,72.76,73.50,72.63,73.32,1848800,70.77
2011-03-31,72.93,73.54,72.79,72.86,1728600,70.32
2011-03-30,72.32,72.86,72.07,72.80,2496200,70.27
2011-03-29,71.42,72.37,71.35,72.30,1365300,69.78
2011-03-28,71.88,72.04,71.55,71.55,1968400,69.06
2011-03-25,72.35,73.00,72.32,72.70,2087100,70.17
2011-03-24,71.81,72.39,71.67,72.24,2004300,69.72
2011-03-23,71.01,71.85,70.98,71.67,1638000,69.17
2011-03-22,71.57,71.77,71.23,71.70,2225800,69.20
2011-03-21,70.61,70.99,70.40,70.87,3175100,68.40
2011-03-18,70.11,70.11,69.55,69.87,3593200,67.44
2011-03-17,69.21,69.23,68.72,68.92,3312800,66.52
2011-03-16,67.40,67.78,65.78,66.53,4367600,64.21
2011-03-15,67.21,68.41,67.07,68.13,2806600,65.76
2011-03-14,68.61,69.17,68.16,69.11,1561200,66.70
2011-03-11,68.20,69.07,68.20,68.86,2272600,66.46
2011-03-10,69.33,69.33,68.64,68.78,2469500,66.39
2011-03-09,70.39,70.51,70.10,70.39,1530500,67.94
2011-03-08,70.57,71.21,70.16,70.96,1290700,68.49
2011-03-07,72.85,72.99,71.60,71.72,1504000,69.22
2011-03-04,72.76,72.84,72.10,72.21,1651800,69.70
2011-03-03,72.32,72.50,71.99,72.28,1796100,69.76
2011-03-02,70.93,71.54,70.92,71.35,2775200,68.87
2011-03-01,72.14,72.38,70.95,70.96,1687500,68.49
2011-02-28,72.23,72.42,71.81,72.25,1504400,69.73
2011-02-25,70.76,71.60,70.68,71.60,1373900,69.11
2011-02-24,71.33,71.75,70.38,70.50,3012900,68.05
2011-02-23,70.52,71.04,70.45,70.92,2960600,68.45
2011-02-22,70.04,71.24,69.93,70.40,2828000,67.95
2011-02-18,70.82,71.18,70.79,71.01,2579300,68.54
2011-02-17,69.87,70.68,69.86,70.53,3331700,68.07
2011-02-16,68.55,69.82,68.50,69.75,4695500,67.32
2011-02-15,68.68,69.10,68.50,68.76,3498100,66.37
2011-02-14,67.53,68.42,67.48,68.30,3101100,65.92
2011-02-11,67.81,68.56,67.81,68.40,2136300,66.02
2011-02-10,68.98,69.27,68.78,69.14,2155800,66.73
2011-02-09,69.27,69.51,69.02,69.30,8203300,66.89
2011-02-08,69.95,70.39,69.75,70.12,1701500,66.87
2011-02-07,69.98,70.33,69.86,70.15,2823300,66.90
2011-02-04,69.88,69.98,69.15,69.68,3491500,66.45
2011-02-03,70.70,71.25,70.33,71.25,2684800,67.95
2011-02-02,73.35,73.85,73.17,73.43,1537100,70.02
2011-02-01,72.54,73.45,72.49,73.35,7636500,69.95
2011-01-31,70.52,71.25,70.50,70.99,2460500,67.70
2011-01-28,70.38,70.60,69.59,70.28,2396400,67.02
2011-01-27,70.58,70.90,70.30,70.72,3301400,67.44
2011-01-26,69.42,69.84,69.25,69.69,1807300,66.46
2011-01-25,68.50,69.10,68.38,69.08,1894700,65.88
2011-01-24,68.83,69.64,68.83,69.53,2158500,66.31
2011-01-21,68.38,68.85,68.36,68.85,1653600,65.66
2011-01-20,67.46,68.00,66.94,67.85,1967700,64.70
2011-01-19,69.09,69.13,68.07,68.28,1963600,65.11
2011-01-18,67.76,68.69,67.76,68.47,2197400,65.29
2011-01-14,66.88,68.15,66.76,68.12,2920800,64.96
2011-01-13,67.40,67.88,67.26,67.52,3320500,64.39
2011-01-12,67.05,67.72,66.89,67.56,1960600,64.43
2011-01-11,66.99,67.03,66.60,66.87,2421300,63.77
2011-01-10,66.24,66.77,66.02,66.60,1884000,63.51
2011-01-07,65.58,65.98,65.30,65.75,2466700,62.70
2011-01-06,66.20,66.39,65.37,65.74,3013900,62.69
2011-01-05,66.03,66.88,66.01,66.85,2794700,63.75
2011-01-04,67.91,67.97,67.16,67.46,2007500,64.33
2011-01-03,67.17,67.58,67.08,67.08,1721000,63.97
2010-12-31,66.50,67.31,66.50,66.78,1305000,63.68
2010-12-30,66.40,66.99,66.23,66.80,1353600,63.70
2010-12-29,66.15,66.83,66.14,66.45,1770500,63.37
2010-12-28,66.52,66.54,65.97,66.29,1080100,63.22
2010-12-27,65.56,66.35,65.50,66.08,1168500,63.02
2010-12-23,65.10,65.85,65.05,65.68,1346700,62.63
2010-12-22,65.14,65.52,65.10,65.44,1904000,62.40
2010-12-21,65.12,65.21,64.97,65.07,1248300,62.05
2010-12-20,64.76,64.79,64.05,64.53,1281100,61.54
2010-12-17,64.61,64.66,63.99,64.34,1748800,61.36
2010-12-16,64.77,64.97,64.37,64.88,1496700,61.87
2010-12-15,65.20,65.38,64.44,64.75,1583600,61.75
2010-12-14,65.88,66.24,65.62,65.96,1401000,62.90
2010-12-13,65.29,65.81,65.05,65.42,1200100,62.39
2010-12-10,64.44,65.00,64.32,65.00,928600,61.99
2010-12-09,64.49,64.54,63.78,64.29,895700,61.31
2010-12-08,64.40,64.71,63.95,64.46,1144000,61.47
2010-12-07,65.00,65.02,64.18,64.24,2461000,61.26
2010-12-06,63.34,64.03,63.25,63.84,1142900,60.88
2010-12-03,63.37,63.91,63.31,63.87,1192300,60.91
2010-12-02,62.06,63.29,62.05,63.27,1740400,60.34
2010-12-01,61.96,62.50,61.89,62.29,2812700,59.40
2010-11-30,60.03,61.25,59.99,60.67,4755300,57.86
2010-11-29,61.00,61.55,60.43,61.40,2416200,58.55
2010-11-26,61.98,62.42,61.90,62.23,1081800,59.34
2010-11-24,62.83,63.27,62.76,63.12,1503300,60.19
2010-11-23,62.85,63.03,62.01,62.59,2257500,59.69
2010-11-22,63.91,64.42,63.43,64.32,2338400,61.34
2010-11-19,64.75,65.44,64.15,65.44,1192100,62.40
2010-11-18,65.46,65.67,65.28,65.55,1262700,62.51
2010-11-17,64.04,64.57,64.01,64.32,1892300,61.34
2010-11-16,64.74,64.76,63.56,64.04,2240800,61.07
2010-11-15,66.11,66.16,65.45,65.45,1020600,62.41
2010-11-12,66.00,66.38,65.37,65.85,1479200,62.80
2010-11-11,65.82,66.45,65.59,66.34,1588700,63.26
2010-11-10,65.70,66.20,64.96,66.10,2221100,63.03
2010-11-09,66.60,66.88,65.40,65.63,2211900,62.59
2010-11-08,66.69,67.12,66.49,66.87,1578300,63.77
2010-11-05,67.83,68.32,67.39,67.91,2146100,64.76
2010-11-04,68.07,68.55,67.84,68.29,2032800,65.12
2010-11-03,66.59,67.27,66.12,67.19,2526600,64.07
2010-11-02,67.16,67.49,67.07,67.35,3328500,63.43
2010-11-01,65.34,65.89,65.21,65.50,2898400,61.68
2010-10-29,64.41,65.07,64.34,64.93,2239800,61.15
2010-10-28,63.28,63.90,63.23,63.79,2889500,60.07
2010-10-27,62.79,62.96,62.30,62.75,2452600,59.09
2010-10-26,62.95,63.49,62.83,63.41,3572900,59.71
2010-10-25,63.34,63.48,62.77,62.83,3783000,59.17
2010-10-22,62.84,63.06,62.64,62.87,1565600,59.21
2010-10-21,63.08,63.50,62.18,62.47,2023500,58.83
2010-10-20,62.40,63.35,62.36,63.00,2191500,59.33
2010-10-19,62.43,62.99,61.77,62.26,2308000,58.63
2010-10-18,63.60,64.26,63.37,64.16,1726800,60.42
2010-10-15,64.06,64.10,63.25,63.53,1924200,59.83
2010-10-14,63.61,63.95,63.29,63.65,2078400,59.94
2010-10-13,63.25,63.50,63.15,63.22,1707700,59.54
2010-10-12,61.90,62.76,61.60,62.61,2030200,58.96
2010-10-11,62.77,63.02,62.65,62.87,1164700,59.21
2010-10-08,62.56,62.97,62.39,62.89,1500700,59.23
2010-10-07,63.17,63.17,62.36,62.70,2558400,59.05
2010-10-06,62.47,62.85,62.42,62.54,2453400,58.90
2010-10-05,61.54,62.32,61.34,62.31,3881300,58.68
2010-10-04,61.00,61.24,60.46,60.83,1635400,57.29
2010-10-01,61.62,61.88,61.26,61.78,2598600,58.18
2010-09-30,61.28,61.58,60.18,60.30,2754500,56.79
2010-09-29,60.27,60.73,60.07,60.53,1901400,57.00
2010-09-28,60.17,60.68,59.59,60.54,1698200,57.01
2010-09-27,60.81,60.81,60.23,60.31,2195700,56.80
2010-09-24,60.03,60.60,59.95,60.30,2215300,56.79
2010-09-23,58.67,59.59,58.53,58.95,1348700,55.51
2010-09-22,59.41,59.78,59.04,59.14,1410200,55.69
2010-09-21,59.58,59.99,58.75,59.51,1624200,56.04
2010-09-20,58.89,59.62,58.70,59.39,1507400,55.93
2010-09-17,59.01,59.25,58.12,58.24,2042800,54.85
2010-09-16,58.79,58.91,58.52,58.78,1793800,55.35
2010-09-15,57.86,58.40,57.63,58.34,2230500,54.94
2010-09-14,57.42,58.19,57.20,57.83,1538800,54.46
2010-09-13,57.61,57.64,57.12,57.33,1478000,53.99
2010-09-10,56.60,56.88,56.47,56.66,1217400,53.36
2010-09-09,56.37,56.58,55.93,56.21,1534200,52.93
2010-09-08,55.80,56.50,55.75,56.22,1399400,52.94
2010-09-07,55.41,55.56,54.97,55.24,1475700,52.02
2010-09-03,56.26,56.52,55.94,56.28,863400,53.00
2010-09-02,54.96,55.44,54.91,55.44,884600,52.21
2010-09-01,54.54,55.22,54.41,55.03,1623000,51.82
2010-08-31,52.94,53.52,52.71,53.05,2414900,49.96
2010-08-30,53.34,53.74,53.09,53.09,1309700,50.00
2010-08-27,53.78,54.37,52.89,54.23,1814500,51.07
2010-08-26,53.17,53.66,52.80,52.94,1459300,49.85
2010-08-25,52.53,53.36,52.23,53.26,1677800,50.16
2010-08-24,53.00,53.37,52.50,53.17,2123400,50.07
2010-08-23,53.89,54.31,53.71,53.90,1090500,50.76
2010-08-20,53.55,53.84,53.24,53.81,1605900,50.67
2010-08-19,55.37,55.54,54.21,54.46,1861100,51.29
2010-08-18,56.11,56.24,55.61,56.03,776700,52.76
2010-08-17,56.33,56.43,55.87,56.09,933200,52.82
2010-08-16,54.98,55.65,54.85,55.46,778800,52.23
2010-08-13,55.16,55.81,55.14,55.47,756300,52.24
2010-08-12,55.01,55.73,54.95,55.40,1151300,52.17
2010-08-11,56.18,56.18,55.60,55.94,1697800,52.68
2010-08-10,57.45,58.25,56.91,58.07,1187700,54.69
2010-08-09,58.37,58.39,58.08,58.17,884800,54.78
2010-08-06,57.24,57.91,57.06,57.83,2348000,54.46
2010-08-05,57.67,57.76,57.17,57.70,913000,54.34
2010-08-04,57.73,58.19,57.50,57.95,1856000,54.57
2010-08-03,58.09,58.60,57.80,58.56,1954400,54.36
2010-08-02,57.25,58.10,57.01,57.85,1913700,53.70
2010-07-30,55.03,56.20,55.02,55.42,2160000,51.44
2010-07-29,56.57,56.72,55.39,55.98,1579500,51.96
2010-07-28,56.27,56.52,55.57,55.91,1789400,51.90
2010-07-27,56.82,56.99,56.34,56.81,1198500,52.73
2010-07-26,56.27,56.67,56.12,56.64,1363600,52.57
2010-07-23,55.87,56.71,55.68,56.46,1874500,52.41
2010-07-22,55.22,56.01,55.22,55.87,1673300,51.86
2010-07-21,54.81,54.83,53.61,53.87,1892600,50.00
2010-07-20,53.84,54.97,53.80,54.81,1582300,50.88
2010-07-19,55.31,55.37,54.58,54.91,1350900,50.97
2010-07-16,55.80,55.85,54.68,54.71,1850900,50.78
2010-07-15,55.57,55.95,54.98,55.84,2109600,51.83
2010-07-14,55.26,55.83,55.12,55.35,1599500,51.38
2010-07-13,54.40,55.00,54.21,54.90,1698300,50.96
2010-07-12,53.10,53.69,53.06,53.51,1194400,49.67
2010-07-09,53.12,53.60,52.99,53.51,1356400,49.67
2010-07-08,52.75,53.34,52.44,53.32,2074600,49.49
2010-07-07,50.43,51.73,50.38,51.73,1875400,48.02
2010-07-06,50.73,51.17,50.06,50.52,1729500,46.89
2010-07-02,50.36,50.55,49.60,50.01,1429700,46.42
2010-07-01,49.84,50.04,49.16,49.53,2763600,45.97
2010-06-30,50.80,51.38,50.14,50.22,2650400,46.61
2010-06-29,51.75,51.80,50.95,51.19,2345800,47.52
2010-06-28,53.13,53.57,52.83,52.86,3157400,49.07
2010-06-25,52.64,53.18,52.24,52.91,2331700,49.11
2010-06-24,53.54,53.66,52.69,52.83,3381900,49.04
2010-06-23,54.00,54.54,53.60,54.09,1662800,50.21
2010-06-22,54.40,54.93,53.90,54.17,2705200,50.28
2010-06-21,55.04,55.49,54.21,54.44,2271900,50.53
2010-06-18,54.52,54.71,54.27,54.65,3332800,50.73
2010-06-17,54.54,54.85,54.06,54.76,1700500,50.83
2010-06-16,53.83,54.66,53.71,54.50,2204900,50.59
2010-06-15,53.26,54.12,53.17,54.05,2349800,50.17
2010-06-14,52.74,53.21,52.38,52.38,1882300,48.62
2010-06-11,51.68,52.67,51.60,52.40,1851700,48.64
2010-06-10,51.44,52.41,51.44,52.35,4578300,48.59
2010-06-09,51.42,51.97,50.59,50.74,3119600,47.10
2010-06-08,50.93,51.90,50.47,51.87,2435100,48.15
2010-06-07,51.90,52.33,51.19,51.19,2555300,47.52
2010-06-04,52.78,52.95,51.56,51.78,2269800,48.06
2010-06-03,54.09,54.32,53.45,54.06,2279700,50.18
2010-06-02,52.42,53.81,52.26,53.81,2289200,49.95
2010-06-01,52.54,53.70,52.06,52.14,2416100,48.40
2010-05-28,53.26,53.30,52.15,52.40,2272500,48.64
2010-05-27,51.73,53.05,51.57,53.01,2246400,49.20
