x,y
0.0,-0.114
0.05,0.0
0.1,-0.179
0.15,-2.144
0.2,0.325
0.25,0.276
0.3,-1.673
0.35,-1.494
0.4,-0.487
0.45,-0.341
0.5,1.77
0.55,0.049
0.6,2.127
0.65,0.52
0.7,-2.225
0.75,-6.577
0.8,-8.233
0.85,-11.546
0.9,-7.827
0.95,-9.467
1.0,-9.191
1.05,-9.922
1.1,-11.01
1.15,-12.179
1.2,-11.562
1.25,-14.112
1.3,-14.566
1.35,-16.239
1.4,-16.515
1.45,-18.48
1.5,-16.97
1.55,-15.995
1.6,-13.511
1.65,-14.68
1.7,-14.875
1.75,-12.163
1.8,-14.29
1.85,-15.719
1.9,-17.295
1.95,-16.499
2.0,-16.466
2.05,-16.077
2.1,-14.355
2.15,-13.511
2.2,-12.585
2.25,-11.432
2.3,-11.465
2.35,-10.62
2.4,-11.66
2.45,-12.309
2.5,-13.056
2.55,-14.518
2.6,-13.722
2.65,-15.963
2.7,-17.506
2.75,-19.065
2.8,-18.22
2.85,-17.619
2.9,-18.107
2.95,-14.339
3.0,-13.738
3.05,-13.771
3.1,-11.66
3.15,-10.263
3.2,-9.76
3.25,-9.386
3.3,-10.182
3.35,-12.569
3.4,-10.994
3.45,-10.328
3.5,-9.272
3.55,-8.623
3.6,-7.73
3.65,-8.623
3.7,-8.136
3.75,-10.637
3.8,-7.032
3.85,-5.667
3.9,-6.252
3.95,-6.349
4.0,-7.048
4.05,-5.213
4.1,-6.707
4.15,-8.769
4.2,-10.669
4.25,-10.425
4.3,-10.718
4.35,-8.525
4.4,-8.883
4.45,-10.084
4.5,-13.04
4.55,-12.488
4.6,-13.933
4.65,-14.696
4.7,-13.657
4.75,-12.666
4.8,-13.381
4.85,-14.031
4.9,-11.432
4.95,-10.75
5.0,-8.639
5.05,-10.019
5.1,-9.386
5.15,-8.461
5.2,-8.087
5.25,-6.447
5.3,-6.755
5.35,-6.041
5.4,-4.531
5.45,-4.173
5.5,-4.368
5.55,-3.248
5.6,-3.524
5.65,-4.726
5.7,-2.517
5.75,-1.25
5.8,-2.29
5.85,-2.127
5.9,-0.487
5.95,0.065
6.0,-0.942
6.05,-0.065
6.1,1.445
6.15,2.582
6.2,1.591
6.25,1.932
6.3,0.52
6.35,2.712
6.4,3.297
6.45,4.027
6.5,3.28
6.55,1.38
6.6,1.332
6.65,2.436
6.7,2.046
6.75,2.858
6.8,2.225
6.85,1.965
6.9,2.761
6.95,4.596
7.0,6.106
7.05,9.061
7.1,8.136
7.15,10.539
7.2,10.149
7.25,8.298
7.3,8.152
7.35,6.69
7.4,6.885
7.45,7.178
7.5,7.356
7.55,5.132
7.6,3.995
7.65,6.301
7.7,5.148
7.75,3.784
7.8,2.062
7.85,2.03
7.9,0.65
7.95,-0.942
8.0,-2.517
8.05,0.617
8.1,0.779
8.15,2.907
8.2,2.858
8.25,5.554
8.3,4.579
8.35,4.726
8.4,4.644
8.45,6.025
8.5,6.983
8.55,5.879
8.6,5.18
8.65,4.92
8.7,5.164
8.75,5.749
8.8,5.781
