Date,Open,High,Low,Close,Volume,Adj Close
2011-11-10,14.93,14.94,14.49,14.54,9267400,14.54
2011-11-09,14.95,15.09,14.63,14.67,9198300,14.67
2011-11-08,15.00,15.31,14.69,15.29,7483000,15.29
2011-11-07,14.86,14.98,14.56,14.89,5935600,14.89
2011-11-04,14.69,14.95,14.51,14.87,5484300,14.87
2011-11-03,14.44,14.85,14.28,14.82,6287900,14.82
2011-11-02,14.33,14.54,14.18,14.38,6905000,14.38
2011-11-01,14.52,14.72,14.11,14.27,11683900,14.27
2011-10-31,14.73,15.09,14.59,14.96,15834700,14.96
2011-10-28,14.81,15.00,14.70,14.84,10844800,14.84
2011-10-27,15.00,15.23,14.51,14.83,18340300,14.83
2011-10-26,14.60,14.74,14.20,14.66,7654400,14.66
2011-10-25,15.01,15.05,14.43,14.47,8101900,14.47
2011-10-24,14.90,15.30,14.85,15.09,8707000,15.09
2011-10-21,14.88,14.91,14.60,14.89,8534500,14.89
2011-10-20,14.64,14.80,14.43,14.73,6300300,14.73
2011-10-19,14.76,14.92,14.55,14.60,8919400,14.60
2011-10-18,14.37,14.93,14.18,14.78,6095900,14.78
2011-10-17,14.76,14.95,14.29,14.34,5726100,14.34
2011-10-14,14.85,14.96,14.60,14.87,5698200,14.87
2011-10-13,14.75,14.95,14.50,14.75,7184900,14.75
2011-10-12,14.61,14.95,14.40,14.80,9667200,14.80
2011-10-11,14.59,14.59,14.25,14.40,8608600,14.40
2011-10-10,14.43,14.91,14.43,14.60,9530000,14.60
2011-10-07,14.35,14.48,14.02,14.21,9054000,14.21
2011-10-06,13.85,14.37,13.82,14.32,7849800,14.32
2011-10-05,13.33,13.88,13.25,13.84,9670700,13.84
2011-10-04,12.65,13.27,12.38,13.26,20278300,13.26
2011-10-03,13.11,13.44,12.77,12.79,10206100,12.79
2011-09-30,13.60,13.66,13.30,13.30,7128200,13.30
2011-09-29,13.97,14.13,13.51,13.76,9843900,13.76
2011-09-28,13.80,14.06,13.72,13.74,11922700,13.74
2011-09-27,13.64,14.00,13.54,13.70,10884000,13.70
2011-09-26,13.35,13.48,13.16,13.44,9318800,13.44
2011-09-23,13.12,13.32,13.02,13.22,11069000,13.22
2011-09-22,13.10,13.54,13.02,13.12,18883100,13.12
2011-09-21,14.40,14.40,13.44,13.45,9063200,13.45
2011-09-20,14.54,14.63,14.12,14.13,8155200,14.03
2011-09-19,14.74,14.82,14.30,14.49,8170100,14.39
2011-09-16,14.94,15.09,14.63,14.85,10182600,14.74
2011-09-15,14.85,14.98,14.70,14.94,7619300,14.83
2011-09-14,14.28,14.96,14.18,14.60,14966000,14.50
2011-09-13,13.93,14.16,13.82,14.09,6830700,13.99
2011-09-12,13.49,13.88,13.45,13.88,7622700,13.78
2011-09-09,13.81,13.83,13.42,13.57,8975800,13.47
2011-09-08,14.29,14.29,13.88,13.93,6900200,13.83
2011-09-07,13.79,14.35,13.75,14.31,9176500,14.21
2011-09-06,13.45,13.66,13.31,13.63,8552700,13.53
2011-09-02,14.21,14.21,13.69,13.81,12542700,13.71
2011-09-01,14.79,15.00,14.38,14.42,10039900,14.32
2011-08-31,14.60,15.00,14.55,14.74,9284700,14.64
2011-08-30,14.79,14.87,14.44,14.56,12917600,14.46
2011-08-29,14.58,14.86,14.46,14.86,6606900,14.75
2011-08-26,14.23,14.66,14.00,14.48,7491400,14.38
2011-08-25,14.52,14.62,14.17,14.30,8559800,14.20
2011-08-24,14.24,14.54,14.13,14.52,7625400,14.42
2011-08-23,13.84,14.27,13.65,14.27,9185400,14.17
2011-08-22,13.83,14.00,13.75,13.81,9759800,13.71
2011-08-19,13.36,14.00,13.33,13.54,11599400,13.44
2011-08-18,13.92,13.92,13.26,13.57,17865700,13.47
2011-08-17,15.40,15.47,13.91,14.29,40973600,14.19
2011-08-16,13.50,14.35,13.38,14.22,20969800,14.12
2011-08-15,13.53,13.79,13.46,13.70,10342700,13.60
2011-08-12,13.18,13.58,13.18,13.48,12688500,13.38
2011-08-11,12.66,13.28,12.33,13.10,16941600,13.01
2011-08-10,12.53,12.75,11.94,12.49,30130000,12.40
2011-08-09,13.25,13.48,12.07,13.21,39938800,13.12
2011-08-08,14.06,14.29,13.11,13.14,28655800,13.05
2011-08-05,14.76,14.84,14.09,14.34,28941500,14.24
2011-08-04,15.15,15.17,14.53,14.57,20785800,14.47
2011-08-03,15.20,15.43,15.07,15.37,13397700,15.26
2011-08-02,15.27,15.71,15.18,15.21,16455000,15.10
2011-08-01,16.06,16.11,15.21,15.28,15559200,15.17
2011-07-29,15.87,16.14,15.79,16.06,9925200,15.95
2011-07-28,16.01,16.18,15.91,16.01,11665200,15.90
2011-07-27,16.17,16.25,15.88,15.96,11718900,15.85
2011-07-26,15.89,16.34,15.82,16.32,18122700,16.20
2011-07-25,15.65,16.00,15.53,15.95,8924600,15.84
2011-07-22,15.77,15.77,15.50,15.74,5923700,15.63
2011-07-21,15.61,15.78,15.52,15.74,9045400,15.63
2011-07-20,15.52,15.61,15.42,15.55,7706400,15.44
2011-07-19,15.25,15.54,15.20,15.51,10404300,15.40
2011-07-18,15.11,15.20,15.05,15.13,7743500,15.02
2011-07-15,15.24,15.33,14.97,15.20,12514700,15.09
2011-07-14,15.50,15.53,15.10,15.20,9829700,15.09
2011-07-13,15.57,15.60,15.41,15.49,9462700,15.38
2011-07-12,15.29,15.59,15.22,15.43,6532700,15.32
2011-07-11,15.41,15.47,15.18,15.27,7250300,15.16
2011-07-08,15.72,15.77,15.40,15.57,12484000,15.46
