x,y
0.0,-2.099
0.05,0.0
0.1,0.658
0.15,-0.741
0.2,-0.329
0.25,-1.564
0.3,-0.617
0.35,0.0
0.4,1.111
0.45,1.276
0.5,-1.852
0.55,-2.387
0.6,-0.988
0.65,-2.922
0.7,-3.21
0.75,-4.074
0.8,-5.267
0.85,-10.658
0.9,-7.86
0.95,-9.136
1.0,-7.407
1.05,-5.967
1.1,-8.436
1.15,-8.56
1.2,-7.202
1.25,-10.041
1.3,-13.58
1.35,-14.115
1.4,-11.646
1.45,-14.074
1.5,-11.564
1.55,-10.658
1.6,-10.247
1.65,-11.811
1.7,-11.358
1.75,-10.288
1.8,-10.823
1.85,-12.757
1.9,-14.527
1.95,-13.251
2.0,-12.305
2.05,-11.07
2.1,-10.206
2.15,-9.465
2.2,-9.465
2.25,-6.996
2.3,-9.342
2.35,-9.053
2.4,-11.317
2.45,-14.156
2.5,-16.049
2.55,-17.407
2.6,-16.872
2.65,-19.095
2.7,-20.905
2.75,-21.934
2.8,-20.329
2.85,-20.7
2.9,-21.77
2.95,-19.877
3.0,-19.918
3.05,-19.218
3.1,-18.354
3.15,-16.626
3.2,-17.613
3.25,-16.461
3.3,-20.494
3.35,-20.206
3.4,-18.477
3.45,-19.259
3.5,-17.778
3.55,-17.901
3.6,-15.597
3.65,-17.449
3.7,-17.572
3.75,-19.383
3.8,-14.979
3.85,-14.856
3.9,-18.025
3.95,-17.654
4.0,-17.654
4.05,-16.749
4.1,-18.107
4.15,-19.177
4.2,-21.399
4.25,-20.823
4.3,-21.811
4.35,-20.494
4.4,-20.494
4.45,-20.864
4.5,-22.551
4.55,-22.016
4.6,-24.403
4.65,-25.926
4.7,-24.938
4.75,-25.885
4.8,-25.926
4.85,-27.819
4.9,-25.967
4.95,-24.403
5.0,-22.222
5.05,-21.852
5.1,-21.07
5.15,-20.576
5.2,-21.564
5.25,-19.506
5.3,-19.712
5.35,-19.671
5.4,-19.218
5.45,-20.288
5.5,-19.259
5.55,-19.053
5.6,-18.807
5.65,-19.259
5.7,-16.708
5.75,-15.679
5.8,-14.979
5.85,-14.733
5.9,-14.362
5.95,-13.086
6.0,-14.733
6.05,-13.621
6.1,-13.704
6.15,-13.621
6.2,-15.473
6.25,-15.391
6.3,-14.362
6.35,-14.362
6.4,-14.568
6.45,-14.362
6.5,-14.074
6.55,-16.049
6.6,-17.366
6.65,-16.173
6.7,-15.473
6.75,-14.527
6.8,-14.897
6.85,-16.708
6.9,-16.132
6.95,-15.391
7.0,-16.955
7.05,-16.173
7.1,-16.461
7.15,-15.021
7.2,-14.362
7.25,-14.938
7.3,-15.638
7.35,-15.597
7.4,-15.597
7.45,-15.473
7.5,-16.379
7.55,-17.819
7.6,-17.654
7.65,-16.914
7.7,-15.432
7.75,-12.51
7.8,-12.305
7.85,-10.7
7.9,-8.765
7.95,-10.082
8.0,-10.864
8.05,-7.984
8.1,-7.984
8.15,-6.543
8.2,-7.202
8.25,-7.202
8.3,-6.872
8.35,-7.901
8.4,-8.354
8.45,-8.354
8.5,-8.477
8.55,-9.506
8.6,-7.572
8.65,-6.584
8.7,-7.078
8.75,-7.531
8.8,-8.066
8.85,-6.955
8.9,-6.502
8.95,-5.761
9.0,-6.296
9.05,-5.226
9.1,-6.049
9.15,-3.416
9.2,-4.362
9.25,-6.049
9.3,-2.84
9.35,-3.58
9.4,-4.444
9.45,-4.897
9.5,-5.391
9.55,-3.745
9.6,-4.321
9.65,-3.58
9.7,-5.103
9.75,-5.597
9.8,-3.992
9.85,-4.115
9.9,-3.333
9.95,-3.786
10.0,-6.379
10.05,-5.885
10.1,-7.613
10.15,-7.778
10.2,-6.708
10.25,-8.23
10.3,-8.066
10.35,-8.971
10.4,-7.407
10.45,-8.642
10.5,-9.177
10.55,-9.3
10.6,-8.148
10.65,-9.588
10.7,-10.905
10.75,-11.893
10.8,-11.358
10.85,-12.222
10.9,-12.798
10.95,-14.362
11.0,-14.486
11.05,-13.868
11.1,-11.852
11.15,-15.597
11.2,-13.128
11.25,-13.663
11.3,-15.514
11.35,-17.119
11.4,-16.955
11.45,-17.366
11.5,-17.16
11.55,-17.202
11.6,-18.519
11.65,-18.765
11.7,-19.588
11.75,-19.136
11.8,-17.366
11.85,-17.572
11.9,-18.889
11.95,-19.053
12.0,-17.737
12.05,-17.407
12.1,-18.519
12.15,-18.807
12.2,-19.012
12.25,-20.0
12.3,-16.872
12.35,-16.337
12.4,-15.144
12.45,-15.35
12.5,-14.938
12.55,-16.79
12.6,-17.243
12.65,-17.407
12.7,-18.436
12.75,-17.243
12.8,-18.56
12.85,-17.284
12.9,-15.679
12.95,-14.897
13.0,-15.185
13.05,-15.844
13.1,-13.292
13.15,-12.346
13.2,-13.21
13.25,-12.51
13.3,-12.51
13.35,-12.675
13.4,-14.156
13.45,-13.169
13.5,-15.885
13.55,-16.255
13.6,-16.091
13.65,-16.667
13.7,-16.091
13.75,-17.119
13.8,-18.272
13.85,-31.07
13.9,-31.399
13.95,-31.77
14.0,-33.333
14.05,-31.728
14.1,-31.77
14.15,-31.852
14.2,-32.469
14.25,-31.77
14.3,-31.193
14.35,-32.099
14.4,-32.551
14.45,-34.897
14.5,-36.296
14.55,-36.996
14.6,-38.313
14.65,-37.572
14.7,-38.395
14.75,-37.901
14.8,-37.942
14.85,-37.819
14.9,-37.613
14.95,-36.955
15.0,-36.337
15.05,-36.708
15.1,-36.955
15.15,-37.037
15.2,-37.078
15.25,-36.79
15.3,-35.72
15.35,-35.514
15.4,-34.609
15.45,-34.568
15.5,-34.856
15.55,-34.856
15.6,-35.309
15.65,-36.584
15.7,-37.078
15.75,-35.926
15.8,-36.214
15.85,-37.284
15.9,-37.819
15.95,-37.243
16.0,-36.132
16.05,-35.761
16.1,-35.103
16.15,-35.597
16.2,-34.609
16.25,-33.457
16.3,-34.115
16.35,-34.691
16.4,-33.909
16.45,-37.16
16.5,-37.449
16.55,-37.654
16.6,-39.259
16.65,-42.14
16.7,-45.473
16.75,-48.436
16.8,-47.901
16.85,-45.761
16.9,-44.321
16.95,-44.444
17.0,-36.626
17.05,-42.716
17.1,-45.021
17.15,-43.086
17.2,-43.045
17.25,-41.399
