x,y
0.0,-0.82
0.05,0.0
0.1,2.022
0.15,-1.585
0.2,1.093
0.25,-3.934
0.3,-5.082
0.35,-3.224
0.4,-3.333
0.45,-5.574
0.5,-7.213
0.55,-8.087
0.6,-6.503
0.65,-8.852
0.7,-9.126
0.75,-11.639
0.8,-10.71
0.85,-13.825
0.9,-12.35
0.95,-12.842
1.0,-10.109
1.05,-9.891
1.1,-9.781
1.15,-10.328
1.2,-11.093
1.25,-13.497
1.3,-15.574
1.35,-19.071
1.4,-15.738
1.45,-17.814
1.5,-14.754
1.55,-13.497
1.6,-14.699
1.65,-16.339
1.7,-17.814
1.75,-16.284
1.8,-17.377
1.85,-16.995
1.9,-17.76
1.95,-18.415
2.0,-18.361
2.05,-17.923
2.1,-15.519
2.15,-16.448
2.2,-14.863
2.25,-14.098
2.3,-14.426
2.35,-14.153
2.4,-16.721
2.45,-17.268
2.5,-17.432
2.55,-18.798
2.6,-18.962
2.65,-20.601
2.7,-23.77
2.75,-23.552
2.8,-23.06
2.85,-22.24
2.9,-22.514
2.95,-21.148
3.0,-20.219
3.05,-18.415
3.1,-17.705
3.15,-16.284
3.2,-16.339
3.25,-16.23
3.3,-16.776
3.35,-18.087
3.4,-22.022
3.45,-24.098
3.5,-24.699
3.55,-23.716
3.6,-23.115
3.65,-23.989
3.7,-24.044
3.75,-25.191
3.8,-23.443
3.85,-23.77
3.9,-23.497
3.95,-22.623
4.0,-23.169
4.05,-21.639
4.1,-22.077
4.15,-22.732
4.2,-24.754
4.25,-24.536
4.3,-24.863
4.35,-24.372
4.4,-23.607
4.45,-24.317
4.5,-24.317
4.55,-24.536
4.6,-26.066
4.65,-27.377
4.7,-26.995
4.75,-27.65
4.8,-27.486
4.85,-28.361
4.9,-27.869
4.95,-27.158
5.0,-25.191
5.05,-25.902
5.1,-25.355
5.15,-24.153
5.2,-25.246
5.25,-24.426
5.3,-24.809
5.35,-23.333
5.4,-22.404
5.45,-21.694
5.5,-23.77
5.55,-23.825
5.6,-22.459
5.65,-23.88
5.7,-21.858
5.75,-20.984
5.8,-21.694
5.85,-21.53
5.9,-22.077
5.95,-22.459
6.0,-22.404
6.05,-21.038
6.1,-20.219
6.15,-20.219
6.2,-22.35
6.25,-21.038
6.3,-21.53
6.35,-20.383
6.4,-8.47
6.45,-11.639
6.5,-11.475
6.55,-14.044
6.6,-13.716
6.65,-13.115
6.7,-13.115
6.75,-10.929
6.8,-11.366
6.85,-10.383
6.9,-10.109
6.95,-10.546
7.0,-9.836
7.05,-10.984
7.1,-11.421
7.15,-10.874
7.2,-11.585
7.25,-10.984
7.3,-5.902
7.35,-7.104
7.4,-9.126
7.45,-9.016
7.5,-9.508
7.55,-10.109
7.6,-11.421
7.65,-10.383
7.7,-7.268
7.75,-10.219
7.8,-10.71
7.85,-10.874
7.9,-11.202
7.95,-12.022
8.0,-11.475
8.05,-12.568
8.1,-11.475
8.15,-11.093
8.2,-10.0
8.25,-9.836
8.3,-7.049
8.35,-6.448
8.4,-7.268
8.45,-7.65
8.5,-8.361
8.55,-9.563
8.6,-10.109
8.65,-9.781
8.7,-10.492
8.75,-10.874
8.8,-8.907
8.85,-9.508
8.9,-9.18
8.95,-10.0
9.0,-9.836
9.05,-9.29
9.1,-8.525
9.15,-8.142
9.2,-8.689
9.25,-9.563
9.3,-7.65
9.35,-6.94
9.4,-8.306
9.45,-8.743
9.5,-8.689
9.55,-9.071
9.6,-8.907
9.65,-9.18
9.7,-9.891
9.75,-10.984
9.8,-11.093
9.85,-12.568
9.9,-11.639
9.95,-12.951
10.0,-14.863
10.05,-11.749
10.1,-13.552
